MishearID,EnvID
ape_news_25286_001,STUDENT_SECTION
ape_news_25286_001,CONVERSATION
ape_news_25286_001,COUNTER
ape_news_25286_002,HOME
ape_news_25286_002,CONVERSATION
ape_news_25286_003,HOME
ape_news_25286_003,CONVERSATION
ape_news_25286_004,STORE
ape_news_25286_004,PHONE
ape_news_25286_004,CONVERSATION
ape_news_25286_005,HOME
ape_news_25286_005,CONVERSATION
ape_news_25286_005,REFRIGERATOR
ape_news_25286_006,STORE
ape_news_25286_006,CONVERSATION
ape_news_25286_006,RECEIPT
ape_news_25286_007,WORKPLACE
ape_news_25286_007,PHONE
ape_news_25286_007,CONVERSATION
ape_news_25286_008,PUBLIC_FACILITY
ape_news_25286_008,ANNOUNCEMENT
ape_news_25286_009,OUTDOOR
ape_news_25286_009,CONVERSATION
ape_news_25286_010,HOME
ape_news_25286_010,TELEVISION
ape_news_25286_010,NEWS
ape_news_25286_011,BEAUTY_SALON
ape_news_25286_011,CONVERSATION
ape_news_25286_012,HOSPITAL
ape_news_25286_012,HEALTH_CHECKUP
ape_news_25286_012,CONVERSATION
ape_news_25286_013,HOME
ape_news_25286_013,TELEVISION
ape_news_25286_013,NEWS
