MishearID,EnvID
aoi_hanayama_20170414_001,PHONE
aoi_hanayama_20170414_001,WORKPLACE
aoi_hanayama_20170414_001,COMMUNICATION_ENVIRONMENT
aoi_hanayama_20170414_002,PHONE
aoi_hanayama_20170414_002,WORKPLACE
aoi_hanayama_20170414_002,COMMUNICATION_ENVIRONMENT
aoi_hanayama_20170414_003,PHONE
aoi_hanayama_20170414_003,WORKPLACE
aoi_hanayama_20170414_003,COMMUNICATION_ENVIRONMENT
aoi_hanayama_20170414_004,PHONE
aoi_hanayama_20170414_004,WORKPLACE
aoi_hanayama_20170414_004,COMMUNICATION_ENVIRONMENT
aoi_hanayama_20170414_005,PHONE
aoi_hanayama_20170414_005,WORKPLACE
aoi_hanayama_20170414_005,COMMUNICATION_ENVIRONMENT
