MishearID,EnvID
sotogofun_23065_001,INSHOKUTEN
sotogofun_23065_001,PHONE
sotogofun_23065_001,TENPO_COUNTER
sotogofun_23065_001,KONZATSUJI
sotogofun_23065_002,INSHOKUTEN
sotogofun_23065_002,PHONE
sotogofun_23065_002,TENPO_COUNTER
sotogofun_23065_002,KONZATSUJI
sotogofun_23065_003,INSHOKUTEN
sotogofun_23065_003,PHONE
sotogofun_23065_003,TENPO_COUNTER
sotogofun_23065_003,KONZATSUJI
sotogofun_23065_004,INSHOKUTEN
sotogofun_23065_004,PHONE
sotogofun_23065_004,TENPO_COUNTER
sotogofun_23065_004,KONZATSUJI
