MishearID,EnvID
eichie_9568_001,KATEI
eichie_9568_001,YOJIKI
eichie_9568_001,NICHOSEIKATSU
eichie_9568_005,KATEI
eichie_9568_005,YOJIKI
eichie_9568_005,NICHOSEIKATSU
eichie_9568_006,KATEI
eichie_9568_006,YOJIKI
eichie_9568_006,NICHOSEIKATSU
eichie_9568_007,KATEI
eichie_9568_007,YOJIKI
eichie_9568_007,NICHOSEIKATSU
eichie_9568_008,KATEI
eichie_9568_008,YOJIKI
eichie_9568_008,NICHOSEIKATSU
eichie_9568_009,KATEI
eichie_9568_009,YOJIKI
eichie_9568_009,NICHOSEIKATSU
eichie_9568_010,KATEI
eichie_9568_010,YOJIKI
eichie_9568_010,NICHOSEIKATSU
