MishearID,EnvID
girlschannel_1160446_001,KATEI
girlschannel_1160446_002,NICHIJOU
girlschannel_1160446_003,KOUKYOUTSUUKOUKIKAN
girlschannel_1160446_004,PHONE
girlschannel_1160446_005,INSHOKUTEN
girlschannel_1160446_006,ONGAKU
girlschannel_1160446_007,NICHIJOU
girlschannel_1160446_008,SHOKUBAI
girlschannel_1160446_009,FAMIRESU
girlschannel_1160446_009,SEKKYAKU
girlschannel_1160446_009,TENNAI
girlschannel_1160446_010,KATEI
girlschannel_1160446_010,SHIZUKANA_KANKYOU
girlschannel_1160446_011,KATEI
girlschannel_1160446_012,BYOUIN
girlschannel_1160446_012,UKETSUKE
girlschannel_1160446_013,KATEI
girlschannel_1160446_014,KOUTEI
girlschannel_1160446_014,TAIIKU
girlschannel_1160446_015,EKIMADOGUCHI
girlschannel_1160446_016,ONGAKU
girlschannel_1160446_016,TEREBI
girlschannel_1160446_017,KOUKYOUTSUUKOUKIKAN
girlschannel_1160446_018,OFFICE
girlschannel_1160446_019,OFFICE
girlschannel_1160446_020,DRUGSTORE
girlschannel_1160446_020,SEKKYAKU
