MishearID,EnvID
kaigo_postseven_196023_001,HOME
kaigo_postseven_196023_001,HOSPITAL
kaigo_postseven_196023_001,NURSING_FACILITY
kaigo_postseven_196023_001,DAILY_CONVERSATION
kaigo_postseven_196023_002,HOME
kaigo_postseven_196023_002,HOSPITAL
kaigo_postseven_196023_002,NURSING_FACILITY
kaigo_postseven_196023_002,DAILY_CONVERSATION
kaigo_postseven_196023_003,HOME
kaigo_postseven_196023_003,HOSPITAL
kaigo_postseven_196023_003,NURSING_FACILITY
kaigo_postseven_196023_003,DAILY_CONVERSATION
kaigo_postseven_196023_004,HOME
kaigo_postseven_196023_004,HOSPITAL
kaigo_postseven_196023_004,NURSING_FACILITY
kaigo_postseven_196023_004,DAILY_CONVERSATION
