MishearID,EnvID
miraika_kikitorenight_001,DAILY_CONVERSATION
miraika_kikitorenight_001,SCHOOL
miraika_kikitorenight_002,DAILY_CONVERSATION
miraika_kikitorenight_002,SCHOOL
miraika_kikitorenight_003,DAILY_CONVERSATION
miraika_kikitorenight_003,SCHOOL
miraika_kikitorenight_004,DAILY_CONVERSATION
miraika_kikitorenight_004,SCHOOL
miraika_kikitorenight_005,DAILY_CONVERSATION
miraika_kikitorenight_005,SCHOOL
miraika_kikitorenight_006,DAILY_CONVERSATION
miraika_kikitorenight_006,SCHOOL
miraika_kikitorenight_007,HOME
miraika_kikitorenight_007,NET
miraika_kikitorenight_008,RESTAURANT
