MishearID,EnvID
girlschannel_307226_001,HOME
girlschannel_307226_001,DAILY_CONVERSATION
girlschannel_307226_002,HOME
girlschannel_307226_002,DAILY_CONVERSATION
girlschannel_307226_003,FRIENDS
girlschannel_307226_003,DAILY_CONVERSATION
girlschannel_307226_004,WORKPLACE
girlschannel_307226_005,TELEVISION
girlschannel_307226_006,TELEVISION
girlschannel_307226_008,MUSIC
girlschannel_307226_009,MUSIC
girlschannel_307226_010,PUBLIC_TRANSPORTATION
girlschannel_307226_012,HOME
girlschannel_307226_013,HOME
girlschannel_307226_014,HOME
girlschannel_307226_015,WORKPLACE
girlschannel_307226_016,TAXI
girlschannel_307226_017,MUSIC
girlschannel_307226_018,HOME
girlschannel_307226_019,HOME
girlschannel_307226_020,HOME
girlschannel_307226_021,SHOPPING_MALL
girlschannel_307226_022,HOME
girlschannel_307226_024,SCHOOL
girlschannel_307226_025,ELECTION_CAR
girlschannel_307226_027,MUSIC
girlschannel_307226_028,HOME
girlschannel_307226_028,KITCHEN
girlschannel_307226_029,DAILY_CONVERSATION
girlschannel_307226_030,FRIENDS
girlschannel_307226_031,CONVERSATION
girlschannel_307226_032,TELEVISION
girlschannel_307226_033,PUBLIC_FACILITY
girlschannel_307226_034,WORKPLACE
girlschannel_307226_035,ELECTION_CAR
