MishearID,EnvID
lifehackerjp_100913misheard_001,DAILY_LIFE
lifehackerjp_100913misheard_001,BUSINESS
lifehackerjp_100913misheard_001,MEETING
lifehackerjp_100913misheard_002,DAILY_LIFE
lifehackerjp_100913misheard_002,BUSINESS
lifehackerjp_100913misheard_002,MEETING
lifehackerjp_100913misheard_003,DAILY_LIFE
lifehackerjp_100913misheard_003,BUSINESS
lifehackerjp_100913misheard_003,MEETING
lifehackerjp_100913misheard_004,DAILY_LIFE
lifehackerjp_100913misheard_004,BUSINESS
lifehackerjp_100913misheard_004,MEETING
lifehackerjp_100913misheard_005,DAILY_LIFE
lifehackerjp_100913misheard_005,BUSINESS
lifehackerjp_100913misheard_005,MEETING
lifehackerjp_100913misheard_006,DAILY_LIFE
lifehackerjp_100913misheard_006,BUSINESS
lifehackerjp_100913misheard_006,MEETING
lifehackerjp_100913misheard_007,DAILY_LIFE
lifehackerjp_100913misheard_007,BUSINESS
lifehackerjp_100913misheard_007,MEETING
lifehackerjp_100913misheard_008,DAILY_LIFE
lifehackerjp_100913misheard_008,BUSINESS
lifehackerjp_100913misheard_008,MEETING
lifehackerjp_100913misheard_009,DAILY_LIFE
lifehackerjp_100913misheard_009,BUSINESS
lifehackerjp_100913misheard_009,MEETING
lifehackerjp_100913misheard_010,DAILY_LIFE
lifehackerjp_100913misheard_010,BUSINESS
lifehackerjp_100913misheard_010,MEETING
