MishearID,EnvID
oscarformen_puzzles_001,KATEI
oscarformen_puzzles_001,DAILY_LIFE
oscarformen_puzzles_002,KATEI
oscarformen_puzzles_002,DAILY_LIFE
oscarformen_puzzles_003,KATEI
oscarformen_puzzles_003,DAILY_LIFE
oscarformen_puzzles_004,KATEI
oscarformen_puzzles_005,KATEI
oscarformen_puzzles_006,TELEVISION
oscarformen_puzzles_006,MUSIC
oscarformen_puzzles_007,TELEVISION
oscarformen_puzzles_007,MUSIC
oscarformen_puzzles_008,TELEVISION
oscarformen_puzzles_008,MUSIC
oscarformen_puzzles_009,TELEVISION
oscarformen_puzzles_010,MUSIC
oscarformen_puzzles_011,MUSIC
oscarformen_puzzles_012,MUSIC
oscarformen_puzzles_013,MUSIC
oscarformen_puzzles_014,MUSIC
oscarformen_puzzles_015,KATEI
oscarformen_puzzles_016,KATEI
oscarformen_puzzles_017,KATEI
oscarformen_puzzles_018,WORKPLACE
oscarformen_puzzles_019,WORKPLACE
oscarformen_puzzles_021,SUPERMARKET
oscarformen_puzzles_022,DAILY_LIFE
oscarformen_puzzles_023,IZAKAYA
