MishearID,EnvID
wataten_mishear_001,OFFICE
wataten_mishear_001,PHONE
wataten_mishear_001,MEETING
wataten_mishear_001,ADMINISTRATIVE_WORK
wataten_mishear_001,ORAL_COMMUNICATION
wataten_mishear_001,NOISE_PRESENT
wataten_mishear_002,OFFICE
wataten_mishear_002,PHONE
wataten_mishear_002,MEETING
wataten_mishear_002,ADMINISTRATIVE_WORK
wataten_mishear_002,ORAL_COMMUNICATION
wataten_mishear_002,NOISE_PRESENT
wataten_mishear_003,OFFICE
wataten_mishear_003,PHONE
wataten_mishear_003,MEETING
wataten_mishear_003,ADMINISTRATIVE_WORK
wataten_mishear_003,ORAL_COMMUNICATION
wataten_mishear_003,NOISE_PRESENT
