MishearID,EnvID
posfie_nDGXf53_001,HOSPITAL
posfie_nDGXf53_001,VERBAL_COMMUNICATION
posfie_nDGXf53_002,HOSPITAL
posfie_nDGXf53_002,VERBAL_COMMUNICATION
posfie_nDGXf53_003,VERBAL_COMMUNICATION
posfie_nDGXf53_004,TAXI
posfie_nDGXf53_004,VERBAL_COMMUNICATION
posfie_nDGXf53_005,TAXI
posfie_nDGXf53_005,VERBAL_COMMUNICATION
posfie_nDGXf53_006,TAXI
posfie_nDGXf53_006,VERBAL_COMMUNICATION
posfie_nDGXf53_007,CLUB_ACTIVITY
posfie_nDGXf53_007,VERBAL_COMMUNICATION
posfie_nDGXf53_008,RESTAURANT
posfie_nDGXf53_008,VERBAL_COMMUNICATION
posfie_nDGXf53_009,RESTAURANT
posfie_nDGXf53_009,VERBAL_COMMUNICATION
posfie_nDGXf53_010,TAXI
posfie_nDGXf53_010,VERBAL_COMMUNICATION
