MishearID,EnvID
posfie_OOEDO4_001,PHONE
posfie_OOEDO4_001,WORKPLACE
posfie_OOEDO4_002,PHONE
posfie_OOEDO4_002,WORKPLACE
posfie_OOEDO4_003,PHONE
posfie_OOEDO4_003,WORKPLACE
posfie_OOEDO4_004,PHONE
posfie_OOEDO4_004,WORKPLACE
posfie_OOEDO4_005,RECEPTION
posfie_OOEDO4_005,SUPER_SENTO
posfie_OOEDO4_006,WORKPLACE
posfie_OOEDO4_007,TAXI
posfie_OOEDO4_007,PHONE
posfie_OOEDO4_008,PHONE
posfie_OOEDO4_008,WORKPLACE
posfie_OOEDO4_009,PHONE
posfie_OOEDO4_009,WORKPLACE
posfie_OOEDO4_010,PHONE
posfie_OOEDO4_010,WORKPLACE
posfie_OOEDO4_011,PHONE
posfie_OOEDO4_011,WORKPLACE
posfie_OOEDO4_012,PHONE
posfie_OOEDO4_012,WORKPLACE
posfie_OOEDO4_013,HOME
posfie_OOEDO4_013,PHONE
posfie_OOEDO4_014,PHONE
posfie_OOEDO4_014,WORKPLACE
posfie_OOEDO4_015,PHONE
posfie_OOEDO4_015,WORKPLACE
posfie_OOEDO4_016,WORKPLACE
posfie_OOEDO4_016,PHONE
posfie_OOEDO4_017,HOME
posfie_OOEDO4_017,TV
posfie_OOEDO4_018,PHONE
posfie_OOEDO4_019,PHONE
posfie_OOEDO4_020,PHONE
posfie_OOEDO4_021,FRIEND
posfie_OOEDO4_021,REQUEST
posfie_OOEDO4_022,IN_FLIGHT
posfie_OOEDO4_022,ANNOUNCEMENT
posfie_OOEDO4_023,WORKPLACE
posfie_OOEDO4_024,PHONE
posfie_OOEDO4_024,WORKPLACE
posfie_OOEDO4_025,RECEPTION
posfie_OOEDO4_025,TOURIST_SPOT
posfie_OOEDO4_026,PHONE
posfie_OOEDO4_026,WORKPLACE
posfie_OOEDO4_027,PHONE
posfie_OOEDO4_027,WORKPLACE
posfie_OOEDO4_028,IN_FLIGHT
posfie_OOEDO4_028,ANNOUNCEMENT
posfie_OOEDO4_029,ACCOUNTING
posfie_OOEDO4_030,HOME
posfie_OOEDO4_031,HOME
posfie_OOEDO4_031,STREET
posfie_OOEDO4_032,PHONE
posfie_OOEDO4_032,WORKPLACE
posfie_OOEDO4_033,null
posfie_OOEDO4_034,null
posfie_OOEDO4_035,null
posfie_OOEDO4_036,null
posfie_OOEDO4_037,null
posfie_OOEDO4_038,null
posfie_OOEDO4_039,null
posfie_OOEDO4_040,null
posfie_OOEDO4_041,null
posfie_OOEDO4_042,null
posfie_OOEDO4_043,null
posfie_OOEDO4_044,null
posfie_OOEDO4_045,null
posfie_OOEDO4_046,null
posfie_OOEDO4_047,null
posfie_OOEDO4_048,null
posfie_OOEDO4_049,null
posfie_OOEDO4_050,null
posfie_OOEDO4_051,null
posfie_OOEDO4_052,null
posfie_OOEDO4_053,null
posfie_OOEDO4_054,null
