MishearID,EnvID
tfm_skyrocket_20200915_001,TAXI_CAR
tfm_skyrocket_20200915_001,PHONE
tfm_skyrocket_20200915_001,RADIO
tfm_skyrocket_20200915_001,NOISY
tfm_skyrocket_20200915_002,TAXI_CAR
tfm_skyrocket_20200915_002,PHONE
tfm_skyrocket_20200915_002,RADIO
tfm_skyrocket_20200915_002,NOISY
tfm_skyrocket_20200915_003,TAXI_CAR
tfm_skyrocket_20200915_003,PHONE
tfm_skyrocket_20200915_003,RADIO
tfm_skyrocket_20200915_003,NOISY
tfm_skyrocket_20200915_006,MEDICAL_SITE
tfm_skyrocket_20200915_006,PHONE
tfm_skyrocket_20200915_006,RECEPTION
tfm_skyrocket_20200915_006,NOISY
tfm_skyrocket_20200915_007,MEDICAL_SITE
tfm_skyrocket_20200915_007,PHONE
tfm_skyrocket_20200915_007,RECEPTION
tfm_skyrocket_20200915_007,NOISY
