MishearID,EnvID
pottora_telephonealphabet_001,PHONE
pottora_telephonealphabet_001,CALL_CENTER
pottora_telephonealphabet_001,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_001,OFFICE
pottora_telephonealphabet_001,NOISE_PRESENT
pottora_telephonealphabet_002,PHONE
pottora_telephonealphabet_002,CALL_CENTER
pottora_telephonealphabet_002,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_002,OFFICE
pottora_telephonealphabet_002,NOISE_PRESENT
pottora_telephonealphabet_003,PHONE
pottora_telephonealphabet_003,CALL_CENTER
pottora_telephonealphabet_003,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_003,OFFICE
pottora_telephonealphabet_003,NOISE_PRESENT
pottora_telephonealphabet_004,PHONE
pottora_telephonealphabet_004,CALL_CENTER
pottora_telephonealphabet_004,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_004,OFFICE
pottora_telephonealphabet_004,NOISE_PRESENT
pottora_telephonealphabet_005,PHONE
pottora_telephonealphabet_005,CALL_CENTER
pottora_telephonealphabet_005,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_005,OFFICE
pottora_telephonealphabet_005,NOISE_PRESENT
pottora_telephonealphabet_006,PHONE
pottora_telephonealphabet_006,CALL_CENTER
pottora_telephonealphabet_006,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_006,OFFICE
pottora_telephonealphabet_006,NOISE_PRESENT
pottora_telephonealphabet_007,PHONE
pottora_telephonealphabet_007,CALL_CENTER
pottora_telephonealphabet_007,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_007,OFFICE
pottora_telephonealphabet_007,NOISE_PRESENT
pottora_telephonealphabet_008,PHONE
pottora_telephonealphabet_008,CALL_CENTER
pottora_telephonealphabet_008,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_008,OFFICE
pottora_telephonealphabet_008,NOISE_PRESENT
pottora_telephonealphabet_009,PHONE
pottora_telephonealphabet_009,CALL_CENTER
pottora_telephonealphabet_009,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_009,OFFICE
pottora_telephonealphabet_009,NOISE_PRESENT
pottora_telephonealphabet_010,PHONE
pottora_telephonealphabet_010,CALL_CENTER
pottora_telephonealphabet_010,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_010,OFFICE
pottora_telephonealphabet_010,NOISE_PRESENT
pottora_telephonealphabet_011,PHONE
pottora_telephonealphabet_011,CALL_CENTER
pottora_telephonealphabet_011,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_011,OFFICE
pottora_telephonealphabet_011,NOISE_PRESENT
pottora_telephonealphabet_012,PHONE
pottora_telephonealphabet_012,CALL_CENTER
pottora_telephonealphabet_012,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_012,OFFICE
pottora_telephonealphabet_012,NOISE_PRESENT
pottora_telephonealphabet_013,PHONE
pottora_telephonealphabet_013,CALL_CENTER
pottora_telephonealphabet_013,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_013,OFFICE
pottora_telephonealphabet_013,NOISE_PRESENT
pottora_telephonealphabet_014,PHONE
pottora_telephonealphabet_014,CALL_CENTER
pottora_telephonealphabet_014,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_014,OFFICE
pottora_telephonealphabet_014,NOISE_PRESENT
pottora_telephonealphabet_015,PHONE
pottora_telephonealphabet_015,CALL_CENTER
pottora_telephonealphabet_015,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_015,OFFICE
pottora_telephonealphabet_015,NOISE_PRESENT
pottora_telephonealphabet_016,PHONE
pottora_telephonealphabet_016,CALL_CENTER
pottora_telephonealphabet_016,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_016,OFFICE
pottora_telephonealphabet_016,NOISE_PRESENT
pottora_telephonealphabet_017,PHONE
pottora_telephonealphabet_017,CALL_CENTER
pottora_telephonealphabet_017,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_017,OFFICE
pottora_telephonealphabet_017,NOISE_PRESENT
pottora_telephonealphabet_018,PHONE
pottora_telephonealphabet_018,CALL_CENTER
pottora_telephonealphabet_018,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_018,OFFICE
pottora_telephonealphabet_018,NOISE_PRESENT
pottora_telephonealphabet_019,PHONE
pottora_telephonealphabet_019,CALL_CENTER
pottora_telephonealphabet_019,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_019,OFFICE
pottora_telephonealphabet_019,NOISE_PRESENT
pottora_telephonealphabet_020,PHONE
pottora_telephonealphabet_020,CALL_CENTER
pottora_telephonealphabet_020,COMMUNICATION_ENVIRONMENT
pottora_telephonealphabet_020,OFFICE
pottora_telephonealphabet_020,NOISE_PRESENT
