MishearID,EnvID
iimatugai_2398_001,GAITOU_HOUSOU
iimatugai_2398_001,SHARYOU
iimatugai_2398_002,TELEVISION
iimatugai_2398_002,NEWS
iimatugai_2398_003,TELEVISION
iimatugai_2398_003,FASHION
iimatugai_2398_004,TRAIN
iimatugai_2398_004,SHANAI_ANNOUNCE
iimatugai_2398_005,TELEVISION
iimatugai_2398_005,ONGAKU_BANGUMI
iimatugai_2398_006,CONVERSATION
iimatugai_2398_006,KANSAI_HOUGEN
iimatugai_2398_007,CONVERSATION
iimatugai_2398_007,SHOPPING
iimatugai_2398_008,STATION
iimatugai_2398_008,TETSUDOU
iimatugai_2398_009,OFFICE
iimatugai_2398_009,CONVERSATION
