MishearID,EnvID
A215C215E6370BE28,OR
A215C215E6370BE28,CATH
A3A19D863B70C304F,OR
A594B64FC6D49F945,ED
A70EFE685048D1274,RAD_IMG
A8BCEBDC7562F792E,ER_CTR
A8BCEBDC7562F792E,RAD_IMG
A8BCEBDC7562F792E,PHONE
A8CA4189851874303,WARD
A8E7ED2C5F1DD6C64,WARD
A92CAA92595CFEA0F,NICU
AA00B2C03C66067AD,WARD
AAC2FA3F396C1C45C,NICU
AB81DCB019EF78EBB,OR
AB81DCB019EF78EBB,PHONE
AC54EF98B1189CA09,OR
AD87985C41829E3CC,RAD_RT
ADA7460CC0CD19F71,ER_CTR
AE8CED0BDD6039273,OR
AE8CED0BDD6039273,PHONE
AEBBA852F7AB99904,WARD_PROC
H0322FBB58A5268B0,OTHER
H06BA1056BCCF90E9,OR
H165DF37F27BCD0CC,ED
H206B9C808BCCCBF5,WARD_PROC
H29F69757CA274D06,ICU
H2BB6C1F38D96DDF7,RAD_IMG
H403426EACB339109,WARD
H45D0362913CE1281,WARD
H4AB042F0411B8571,WARD
H4E52C44C7581B6C5E7,NS
H5A2FB94326C62C67,NS
H5A2FB94326C62C67,PHONE
H6E3F490D977F6CC1,ER_CTR
H74BED6E4673EEBF8,NS
H74BED6E4673EEBF8,PHONE
H7C259EB1521EC085,OR
H87539037AD9636E0,WARD
H8D05FF54D5F3BEF1,DIAL
H8DE79DE9CB4B5FC8,OPD
H8DE79DE9CB4B5FC8,PHONE
H97CDF35E61389A42,OR
H9C7E7008EE18BDB5,WARD
HA12B023D01BCDE760,ICU
HAB1891E5534DE4CEF,OR
HD6F67C817825D094,WARD
HD908EF85EA9A18B6,WARD
HD908EF85EA9A18B6,PHONE
HDAC01CC61E564CE2,ED
HDAC01CC61E564CE2,PHONE
HE2D918C1E410180D,WARD
HE60CF647DD2910F1,RAD_IMG
