MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
www_1101_com_iimatugai_archive_more1217_html_001,私が生まれた頃にはねぇー,私が生きていた頃にはねぇー,昭和50年代の話をする時は表現に注意,塾講師が生徒に自分の生まれた時代を話そうとして、死者のような表現になり生徒にツッコまれた。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,ちゅろ,生徒,日本語,"['言い間違い', '学校', 'ユーモア', '日常']","['学校（塾教室）', '雑談', 'ノイズ：教室内']"
www_1101_com_iimatugai_archive_more1217_html_002,返信お願いします,変死をお願いします,携帯メールの入力時は変換候補に注意,急いでメールを打った際、「わをん」ボタンの押し間違いでホラーな内容になってしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,朝人,メール受信者,日本語,"['言い間違い', 'メール', 'ユーモア', '日常']","['携帯メール', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_003,心にこもったご挨拶,わだかまったご挨拶,送別会などの挨拶は言葉選びに注意,会社の送別会で司会が「心にこもった」を「わだかまった」と言い間違え、場が微妙な空気になった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,にんじん,送別会参加者,日本語,"['言い間違い', '会社', 'ユーモア', '日常']","['会社', '送別会', 'ノイズ：会話']"
www_1101_com_iimatugai_archive_more1217_html_004,カフェイン摂りなさい,コカイン摂りなさい,カタカナ語の発音に注意,眠いと言った娘に母が「カフェイン」と言うつもりが「コカイン」と言い間違えた。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,母,Eki,日本語,"['言い間違い', '家庭', 'ユーモア', '日常']","['家庭', '雑談', 'ノイズ：家庭内']"
www_1101_com_iimatugai_archive_more1217_html_005,井田両国堂,イタリア極道,電話の取次ぎ時は社名の確認を,会社の電話で「井田両国堂」を「イタリア極道」と聞き間違え、マフィアのような印象を与えてしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,はぐ,担当者,日本語,"['聞き間違い', '会社', 'ユーモア', '日常']","['会社', '電話', 'ノイズ：オフィス']"
www_1101_com_iimatugai_archive_more1217_html_006,人生山あり谷あり,人生谷あり苦あり,慣用句の正確な表現を覚えよう,後輩が励まそうとして「山あり谷あり」を「谷あり苦あり」と言い間違え、どん底感が増した。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,maya後輩,maya,日本語,"['言い間違い', '学校', 'ユーモア', '日常']","['学生', '雑談', 'ノイズ：教室']"
www_1101_com_iimatugai_archive_more1217_html_007,ビクトリア・ベッカム,バクテリア・ベッカム,有名人の名前は正確に覚えよう,彼女が「ビクトリア・ベッカム」を「バクテリア・ベッカム」と答え、微生物のようになってしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,gum彼女,gum,日本語,"['言い間違い', '友人', 'ユーモア', '日常']","['友人', '雑談', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_008,ヒッチハイク,ハイジャック,カタカナ語の聞き取りに注意,信号待ちでギャルが「ヒッチハイク」を「ハイジャック」と聞き間違え、犯罪の話かと驚いた。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,ギャル,あらいぶやわら,日本語,"['聞き間違い', '屋外', 'ユーモア', '日常']","['屋外', '信号待ち', 'ノイズ：街頭']"
www_1101_com_iimatugai_archive_more1217_html_009,大事な世界大戦,だいじに世界大戦,発音の区切りに注意,父が映画の説明で「大事な世界大戦」を「だいじに世界大戦」と言い、意味が変わってしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,父,くろべぇ,日本語,"['言い間違い', '家庭', 'ユーモア', '日常']","['家庭', 'TV視聴', 'ノイズ：家庭内']"
www_1101_com_iimatugai_archive_more1217_html_010,楽しんでいただけたら,しんでいただけたら,文章作成時は誤字脱字に注意,小学校のプリントで「楽しんで」の「楽」が抜けて「しんでいただけたら」となり、心中を勧める内容になった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,担任,保護者,日本語,"['言い間違い', '学校', 'ユーモア', '日常']","['学校', 'プリント', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_011,動物病院の角,病院動物の角,言葉の順序に注意,友人宅近所の話で「動物病院の角」を「病院動物の角」と言い間違え、不思議な表現になった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,きょろ,友人,日本語,"['言い間違い', '友人', 'ユーモア', '日常']","['友人', '雑談', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_012,ポメラニアン,ポインセチア,ペットと植物の区別に注意,父が庭のポインセチアを「ポメラニアン」と言い間違え、巨大な犬のように説明してしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,父,どろぼう,日本語,"['言い間違い', '家庭', 'ユーモア', '日常']","['家庭', '庭', 'ノイズ：家庭内']"
www_1101_com_iimatugai_archive_more1217_html_013,久保,クビ／首,名前の変換時は確認を怠らないこと,「久保」という苗字をPCで変換した際、「クビ」「首」になってしまい、受け取った人を驚かせた。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,久保,メール受信者,日本語,"['言い間違い', 'メール', 'ユーモア', '日常']","['PCメール', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_014,住生ビル,往生ビル,住所の書き写しは慎重に,宅配の宛先住所「住生ビル」を「往生ビル」と書き間違え、死を連想させるビル名になってしまった。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,h,取引先,日本語,"['言い間違い', '会社', 'ユーモア', '日常']","['会社', '宅配', 'ノイズ：なし']"
www_1101_com_iimatugai_archive_more1217_html_015,佐野くん,加納くん,名前の呼び間違いは注意,アルバイトの彼を「加納くん」と呼んでいたが、実は「佐野くん」だったかもしれないと気づいた。,True,www_1101_com_iimatugai_archive_more1217_html,N/A,投稿者,アルバイト,日本語,"['聞き間違い', '会社', 'ユーモア', '日常']","['会社', '雑談', 'ノイズ：オフィス']"
