MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
www1101iimatugai_001,聞きまつがい,焼き巻き貝,発音が似ている語に注意,「聞きまつがい」の特集を「焼き巻き貝」と聞き間違えた。会話の冒頭でのやりとり。,True,www1101iimatugai_archive_more050523_html,,不明,不明,ja
www1101iimatugai_002,聞きまつがい,ハチマキ・ガイ,発音が似ている語に注意,「聞きまつがい」の特集を「ハチマキ・ガイ」と聞き間違えた。会話の冒頭でのやりとり。,True,www1101iimatugai_archive_more050523_html,,不明,不明,ja
www1101iimatugai_003,岡本病院へ行って来た,オカマと病院へ行って来た,病院名や人名ははっきり発音しよう,母親が「岡本病院へ行って来た」を「オカマと病院へ行って来た」と言い間違えた。家族間の会話。,True,www1101iimatugai_archive_more050523_html,,母,子,ja
www1101iimatugai_004,和太鼓サークル,和田アキ子サークル,テレビ音声は注意深く聞こう,テレビの「和太鼓サークル」を「和田アキ子サークル」と聞き間違えた。家事中のテレビ視聴。,True,www1101iimatugai_archive_more050523_html,,テレビ,視聴者,ja
www1101iimatugai_005,アドブレーンです,和田勉です,電話はクリアに名乗ろう,会社での電話で「アドブレーンです」を「和田勉です」と聞き間違えた。同僚の聞き間違い。,True,www1101iimatugai_archive_more050523_html,,発信者,受信者,ja
www1101iimatugai_006,田渕さん,ハムスター,名前ははっきり呼ぼう,忙しい職場で「田渕さん」を「ハムスター」と聞き間違えた。職場の騒音・疲労も影響。,True,www1101iimatugai_archive_more050523_html,,同僚,同僚,ja
www1101iimatugai_007,あと何や？,あんた何や？,方言やイントネーションに注意,ウェイトレス時代、お客様の「あと何や？」を「あんた何や？」と聞き間違えた。飲食店での会話。,True,www1101iimatugai_archive_more050523_html,,客,ウェイトレス,ja
www1101iimatugai_008,水ふたつ持ってきて,椅子ふたつ持ってきて,オーダーは復唱確認しよう,「水ふたつ持ってきて」を「椅子ふたつ持ってきて」と聞き間違えた。飲食店でのオーダー。,True,www1101iimatugai_archive_more050523_html,,客,ウェイトレス,ja
www1101iimatugai_009,世界最古の鋼（はがね）,世界最古の鼻毛,ニュースの専門用語は注意,9歳の娘がテレビニュースの「世界最古の鋼」を「世界最古の鼻毛」と聞き間違えた。,True,www1101iimatugai_archive_more050523_html,,ニュース,子,ja
www1101iimatugai_010,興味ない,今日見ない？,子どもの発話は繰り返し確認しよう,母親が「興味ない」と言ったのを息子が「今日見ない？」と聞き間違えた。夕食準備中の家庭内会話。,True,www1101iimatugai_archive_more050523_html,,母,息子,ja
www1101iimatugai_011,沖漬けイカ,チーズケーキ,メニュー名ははっきり伝えよう,回転寿司で「沖漬けイカ」を「チーズケーキ」と聞き間違えた。夫婦の会話。,True,www1101iimatugai_archive_more050523_html,,妻,夫,ja
www1101iimatugai_012,秋葉原に行かないと,キャバクラに行かないと,地名と業種名の聞き間違いに注意,大学教授の「秋葉原に行かないと」を「キャバクラに行かないと」と聞き間違えた。会見後の会話。,True,www1101iimatugai_archive_more050523_html,,教授,記者,ja
www1101iimatugai_013,卒業記念植樹,卒業記念食事,行事名は正確に伝えよう,担任の「卒業記念植樹」を「卒業記念食事」と聞き間違えた。中学校のホームルーム。,True,www1101iimatugai_archive_more050523_html,,担任,生徒,ja
www1101iimatugai_014,スーツ預かってます,スープ預かってます,店名や用件は明瞭に伝えよう,クリーニング店からの電話で「スーツ預かってます」を「スープ預かってます」と聞き間違えた。,True,www1101iimatugai_archive_more050523_html,,店員,客,ja
www1101iimatugai_015,アイスクリーム,ミネストローネ,注文時ははっきり発音しよう,小学生がファストフード店で「アイスクリーム」を「ミネストローネ」と聞き間違えられた。,True,www1101iimatugai_archive_more050523_html,,小学生,店員,ja
