MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
www_1101_com_m_iimatugai_444_html_001,みず菜のおかわりある？,水のおかわりある？,食卓での会話は料理名に注意,娘が「みず菜のおかわりある？」と聞いたのを母が「水のおかわりある？」と聞き間違えた。家庭の食卓で。,True,www_1101_com_m_iimatugai_444_html,,娘,母,ja
www_1101_com_m_iimatugai_444_html_002,一青窈さんの話,人と予算の話,有名人の名前は聞き取りに注意,ラジオの音楽番組で「一青窈さんの話」を「人と予算の話」と聞き間違えた。ラジオ放送中。,True,www_1101_com_m_iimatugai_444_html,,ラジオDJ,投稿者,ja
www_1101_com_m_iimatugai_444_html_003,横尾忠則展,旅行ただ乗り券,職場の会話は文脈に注意,デパートの本屋で「横尾忠則展」を「旅行ただ乗り券」と聞き間違えた。終礼時の職場会話。,True,www_1101_com_m_iimatugai_444_html,,上司,投稿者,ja
www_1101_com_m_iimatugai_444_html_004,書く仕事,隠し事,職場での発音に注意,後輩が「書く仕事ください」と言ったのを「隠し事ください」と聞き間違えた。職場での会話。,True,www_1101_com_m_iimatugai_444_html,,後輩,先輩,ja
www_1101_com_m_iimatugai_444_html_005,柳生十兵衛でご活躍,野球中継でご活躍,テレビの音声は注意深く聞く,テレビ番組で「柳生十兵衛でご活躍」を「野球中継でご活躍」と聞き間違えた。昼食準備中。,True,www_1101_com_m_iimatugai_444_html,,テレビ,投稿者,ja
www_1101_com_m_iimatugai_444_html_006,ショートケーキ,消毒液,飲食店での注文ははっきりと,イタリアンレストランで「ショートケーキ」を「消毒液」と聞き間違えた。店員との会話。,True,www_1101_com_m_iimatugai_444_html,,客,店員,ja
www_1101_com_m_iimatugai_444_html_007,中央分離帯,中央文理大,ニュース用語は正確に,ラジオの交通ニュースで「中央分離帯」を「中央文理大」と聞き間違えた。子供の頃から中学生まで。,True,www_1101_com_m_iimatugai_444_html,,アナウンサー,投稿者,ja
www_1101_com_m_iimatugai_444_html_008,マナーモード,バナナボート,アナウンスはクリアに,電車のアナウンスで「マナーモード」を「バナナボート」と聞き間違えた。乗務員の発音が不明瞭だった可能性。,True,www_1101_com_m_iimatugai_444_html,,乗務員,乗客,ja
www_1101_com_m_iimatugai_444_html_009,ピーカンナッツ入り,効かんなぁ、この薬,食べ物の説明は明瞭に,アイスクリームを食べている時「ピーカンナッツ入り」を「効かんなぁ、この薬」と聞き間違えた。花粉症の友人と。,True,www_1101_com_m_iimatugai_444_html,,友人,投稿者,ja
www_1101_com_m_iimatugai_444_html_010,茶系似合うね,酒におうね,褒め言葉はしっかり聞き取る,エレベーター内で「茶系似合うね」を「酒におうね」と聞き間違えた。,True,www_1101_com_m_iimatugai_444_html,,先輩,投稿者,ja
www_1101_com_m_iimatugai_444_html_011,ゴッドファーザーのテーマ,コットンばあさんの曲,曲名は歌ってもらうと分かりやすい,友人が「コットンばあさんの曲知ってる？」と聞き、「ゴッドファーザーのテーマ」だった。友人同士の会話。,True,www_1101_com_m_iimatugai_444_html,,友人,投稿者,ja
www_1101_com_m_iimatugai_444_html_012,お茶碗,お茶、ワン,飲食店での注文は明確に,和食店で「お茶碗」を「お茶、ワン」と聞き間違えた。店員が一つだけお茶を持ってきた。,True,www_1101_com_m_iimatugai_444_html,,客,店員,ja
www_1101_com_m_iimatugai_444_html_013,四条畷（しじょうなわて）,しあわせゆき,駅名は事前に確認,駅の放送で「四条畷（しじょうなわて）」を「しあわせゆき」と聞き間違えた。帰宅途中の駅で。,True,www_1101_com_m_iimatugai_444_html,,アナウンス,投稿者,ja
www_1101_com_m_iimatugai_444_html_014,結婚しようか,けっこう住んでるな,プロポーズははっきりと,高速道路走行中、彼氏の「結婚しようか？」を「けっこう住んでるな〜」と聞き間違えた。車内での会話。,True,www_1101_com_m_iimatugai_444_html,,彼氏,投稿者,ja
