MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
togetter_2202499_001,なながつ,しちがつ,電話で注意,電話やコールセンターで「なながつ」と言うと「しちがつ」と訂正される。混同防止のため。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['コールセンター', '電話', '聞き間違い', '日付', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_002,ついたち,いちにち,日付の言い換え,「ついたち」が通じない場合「いちにち」と言い換える。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', '日付', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_003,はつか,にじゅうにち,日付の言い換え,「はつか」が通じない場合「にじゅうにち」と言い換える。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', '日付', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_004,ようか,はちにち,日付の言い換え,「ようか」が通じない場合「はちにち」と言い換える。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', '日付', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_005,ここのか,きゅうにち,日付の言い換え,「ここのか」が通じない場合「きゅうにち」と言い換える。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', '日付', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_006,D（でー）,ディー,アルファベット注意,アルファベットの発音の違いによる混乱。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', 'アルファベット', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_007,T（てー）,ティー,アルファベット注意,アルファベットの発音の違いによる混乱。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['電話', '聞き間違い', 'アルファベット', '言い換え']","['電話', 'コールセンター']"
togetter_2202499_008,ひとじゅうなな,いち、しち,株価読み上げ,「ひとじゅうなな」と言うことで「いち」「しち」との混同を防ぐ。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['ラジオ', '聞き間違い', '数字', '言い換え']","['ラジオ', '放送']"
togetter_2202499_009,ふたじゅうよん,に、し,株価読み上げ,「ふたじゅうよん」と言うことで「に」「し」との混同を防ぐ。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['ラジオ', '聞き間違い', '数字', '言い換え']","['ラジオ', '放送']"
togetter_2202499_010,うげん／さげん,みぎげん／ひだりげん,船舶用語注意,船舶現場での混同防止のための言い換え。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['船舶', '聞き間違い', '業界用語', '言い換え']",['船舶現場']
togetter_2202499_011,中華パン,中華飯,店舗注文時注意,店舗で「中華パン」と言ったら「中華飯」とミスオーダーされた。,True,togetter_2202499,https://togetter.com/li/2202499?page=2,日本語,"['店舗', '聞き間違い', '注文', '言い換え']","['店舗', '注文カウンター']"
