MishearID,TagID
hearingstore_20200717_001,HEARING
hearingstore_20200717_001,MISHEARING
hearingstore_20200717_001,COMMUNICATION
hearingstore_20200717_001,HEARING_AID
hearingstore_20200717_001,ELDERLY
hearingstore_20200717_001,JAPANESE
hearingstore_20200717_001,CONSONANT
hearingstore_20200717_001,MASK
hearingstore_20200717_001,DAILY_CONVERSATION
hearingstore_20200717_002,HEARING
hearingstore_20200717_002,MISHEARING
hearingstore_20200717_002,COMMUNICATION
hearingstore_20200717_002,HEARING_AID
hearingstore_20200717_002,ELDERLY
hearingstore_20200717_002,JAPANESE
hearingstore_20200717_002,CONSONANT
hearingstore_20200717_002,MASK
hearingstore_20200717_002,DAILY_CONVERSATION
hearingstore_20200717_003,HEARING
hearingstore_20200717_003,MISHEARING
hearingstore_20200717_003,COMMUNICATION
hearingstore_20200717_003,HEARING_AID
hearingstore_20200717_003,ELDERLY
hearingstore_20200717_003,JAPANESE
hearingstore_20200717_003,CONSONANT
hearingstore_20200717_003,MASK
hearingstore_20200717_003,DAILY_CONVERSATION
hearingstore_20200717_004,HEARING
hearingstore_20200717_004,MISHEARING
hearingstore_20200717_004,COMMUNICATION
hearingstore_20200717_004,HEARING_AID
hearingstore_20200717_004,ELDERLY
hearingstore_20200717_004,JAPANESE
hearingstore_20200717_004,CONSONANT
hearingstore_20200717_004,MASK
hearingstore_20200717_004,DAILY_CONVERSATION
hearingstore_20200717_005,HEARING
hearingstore_20200717_005,MISHEARING
hearingstore_20200717_005,COMMUNICATION
hearingstore_20200717_005,HEARING_AID
hearingstore_20200717_005,ELDERLY
hearingstore_20200717_005,JAPANESE
hearingstore_20200717_005,CONSONANT
hearingstore_20200717_005,MASK
hearingstore_20200717_005,DAILY_CONVERSATION
hearingstore_20200717_006,HEARING
hearingstore_20200717_006,MISHEARING
hearingstore_20200717_006,COMMUNICATION
hearingstore_20200717_006,HEARING_AID
hearingstore_20200717_006,ELDERLY
hearingstore_20200717_006,JAPANESE
hearingstore_20200717_006,CONSONANT
hearingstore_20200717_006,MASK
hearingstore_20200717_006,DAILY_CONVERSATION
