MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
girlschannel_5697216_001,あの鐘を鳴らすのはあなた,あのハゲを泣かすのはあなた,,テレビCMの歌詞の空耳。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_002,汚職事件,お食事券,,子供の頃のニュースの聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_003,異人さんに連れられ,偉人さんに連れられ,,「赤いくつ」の歌詞の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_004,還付金詐欺,パンプキン詐欺,,防災無線のアナウンスの聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_005,多機能トイレ,滝のおトイレ,,駅のアナウンスの聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_006,赤ラークのロング,ジャイアントポークフランク,,コンビニでの聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_007,6時頃,野口五郎,,電話での待ち合わせ場所の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_008,鈴木マサシいますか？,鈴木まだ死んでますか？,,電話での名前の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,鈴木マサシ,,ja
girlschannel_5697216_009,じょうろに水を汲んできて,道路に水を汲んできて,,保育園での先生の指示の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,先生,,ja
girlschannel_5697216_010,花自慢,鼻血マン,,テレビ番組の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_011,仲間呼ぶカラスの声,仲間呼ぶからスノコへ,,平井堅の曲の歌詞の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_012,もう一回,まあいっか～,,バレーの試合中の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_013,部会,鵜飼,,キャバクラでのサラリーマン同士の会話の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,サラリーマン,サラリーマン,ja
girlschannel_5697216_014,目星つけてきたんですか？,梅干つけてきたんですか？,,洋服屋での店員との会話の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,店員,客,ja
girlschannel_5697216_015,白湯,粥,,食品名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_016,群馬,グアム,,地名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_017,満州,蘭州,,地名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_018,ラパン,ルパン,,車種名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_019,ラパン,ウルトラマン,,車種名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_020,ニコアンド,2個編んだ,,ブランド名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_021,スーパー銭湯,数パーセント,,会話の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_022,礼状,令状,,会話の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_023,不二サッシ,ふじさしさん,,会社名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_024,おこと教室,おとこ教室,,習い事の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_025,思い込んだら,思いコンダラ,,アニメ主題歌の歌詞の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_026,チーズ買ってきて,ビール買ってきて,,家庭での聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_027,キンキンタンブラー,キンキン◯マ◯マ,,CMの聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_028,ラコステの帽子,学校指定の帽子,,デパートでの電話の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,店員,客,ja
girlschannel_5697216_029,イトーヨーカドー,移動用カート,,店舗名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_030,SUPER GIRL「オーディションの日」,ホゥーディションの日,,歌詞の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_031,時任三郎,とき・にんざぶろう,,芸能人の名前の読み間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,時任三郎,,ja
girlschannel_5697216_032,平幹二朗,ひらめきじろう,,芸能人の名前の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,平幹二朗,,ja
girlschannel_5697216_033,チーズバーガー,ジージバーバー,,食品名の聞き間違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_034,パスタLサイズ,パスタMサイズ,,レストランで細身の女性が「Lサイズで」と言ったのを店員が「Mサイズ」と聞き取り提供を誤った例。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,女性客,店員,ja
girlschannel_5697216_035,おばあちゃんのお見合い,おばあちゃんのお見舞い,,家族の会話で予定を共有した際に「お見合い」と「お見舞い」を取り違え笑いが起きた。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,家族,家族,ja
girlschannel_5697216_036,◯◯選手、9秒99だって,◯◯選手、急病救急だって,,スポーツニュースでの記録速報を「急病救急」と空耳した驚きの勘違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,アナウンサー,視聴者,ja
girlschannel_5697216_037,異人さんに連れられ,良い爺さんに連れられ,,童謡「赤いくつ」の歌詞を「良い爺さん」と解釈していた幼少期の空耳。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_038,異人さんに連れられ,曾祖父さんに連れられ,,同じく「赤いくつ」を「曽祖父さん」と誤認した空耳バリエーション。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,,,ja
girlschannel_5697216_039,芦花公園,コカ・コーラ,,駅名アナウンス「芦花公園」を飲料名と聞き違えた車内エピソード。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,駅アナウンス,乗客,ja
girlschannel_5697216_040,大場加奈子,大馬鹿な子,,人名紹介を罵倒語と空耳してギョッとしたトーク番組視聴時の勘違い。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,司会者,視聴者,ja
girlschannel_5697216_041,遺跡調査会,いせき町、さかい,,電話で団体名「遺跡調査会」を住所「◯◯町境」と聞き違え取次を迷った。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,電話発信者,電話受信者,ja
girlschannel_5697216_042,立正佼成会,一生童貞かい,,街頭呼びかけを揶揄表現と空耳し二度見した珍事件。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,街頭スピーカー,通行人,ja
girlschannel_5697216_043,矯正歯科医院,キヨスミ歯科医院,,歯科助手が電話予約で「矯正歯科」を地名入り別院名と聞き違えた実務ミス。,True,girlschannel_5697216,https://girlschannel.net/topics/5697216/,歯科助手,患者,ja
