MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
togetter_kikimachigai_001,ダンボの映画が見たい,ランボー～怒りの脱出～,映画タイトル注意,幼児が親に伝えたがアクション映画に連れて行かれた,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '家族', '映画', '幼児', 'コミュニケーション']","['家庭', '映画館']"
togetter_kikimachigai_002,先生！エグザイルから電話です！,先生！違う相手から電話です！,電話で注意,看護師が取り次いだ電話の聞き間違い,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '電話', '仕事', '病院', '芸能人']","['電話', '職場']"
togetter_kikimachigai_003,秘密警察から電話です,違う相手から電話です,電話で注意,電話の取り次ぎで大喜利的な聞き間違い,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '電話', '仕事', 'ネタ']","['電話', '職場']"
togetter_kikimachigai_004,東急ぽんぽこぺんからお電話です！,東急東横店からお電話です！,電話で注意,店名のリズムや音の高低差による聞き間違い,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '電話', '店舗', 'ネタ']","['電話', '店舗']"
togetter_kikimachigai_005,マンボウをもらった,マンゴーをもらった,食べ物注意,九州の友人との会話で発生したリアルアンジャッシュ,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '食べ物', 'コミュニケーション', 'ネタ']","['職場', '家庭']"
togetter_kikimachigai_006,屈強なキリシタンです,国境なき医師団です,団体名注意,団体名の聞き間違いでどんな団体かと驚いた,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '団体名', 'コミュニケーション', 'ネタ']","['電話', '職場']"
togetter_kikimachigai_007,うどん多ない？,Udon All night!?,多言語注意,うどん屋での関西弁を外国人観光客が英語で勘違い,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '店舗', 'うどん', '非母語話者', '観光', '英語']","['店舗', '多言語環境']"
togetter_kikimachigai_008,箸ください,ハッシュデスネ！,非母語話者注意,コンビニで外国人店員が「箸」を「ハッシュ」と聞き間違えた,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '店舗', 'コンビニ', '非母語話者', '接客']","['店舗', '多言語環境']"
togetter_kikimachigai_009,夜間も外出を控えてください,やかんも外出を控えてください,ニュース注意,子供がニュースの「夜間」を「やかん」と聞き間違えた,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '家庭', '子供', 'ニュース', 'コミュニケーション']","['家庭', 'テレビ']"
togetter_kikimachigai_010,明治36年に発注した物が来週入ってくる,明治36年に発注した物が来週入ってくる（事務ミス・聞き間違い）,年号・数字注意,電話での事務ミス選手権、年号や数字の聞き間違い,True,togetter_kikimachigai,https://togetter.com/t/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%84/recent,日本語,"['聞き間違い', '仕事', '電話', '事務', '数字', '年号']","['電話', '事務所']"
