MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
kidsnifty_230110334036_001,シナモロール,シナモンロール,サンリオキャラ名は「シナモロール」,サンリオキャラ名の聞き間違い・勘違い。多くの子が間違えやすい。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', 'キャラクター', '日常生活']","['家庭', '学校']"
kidsnifty_230110334036_002,アパマンショップ,アンパンマンショップ,店名に注意,店名の聞き間違い。子どもがよく間違える。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '店舗', '日常生活']","['家庭', '学校']"
kidsnifty_230110334036_003,かめかめかめサワーズ,サマーズ,商品名に注意,お菓子の名前の聞き間違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '商品名', '日常生活']","['家庭', '学校']"
kidsnifty_230110334036_004,運動会の「宣誓」,先生,開会式の言葉に注意,運動会で「せんせいっ！」と聞き間違えた。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '学校', '行事']",['学校']
kidsnifty_230110334036_005,キクラゲ,クラゲの仲間,食材名に注意,キクラゲをクラゲの仲間だと思っていた。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '食材', '日常生活']",['家庭']
kidsnifty_230110334036_006,アルプス一万尺「こやぎの上で」,子ヤギの上で,歌詞に注意,歌詞の聞き間違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '歌詞', '音楽']","['学校', '家庭']"
kidsnifty_230110334036_007,東名高速道路,透明な高速道路,名前に注意,「東名」を「透明」と勘違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '言葉遊び']",['家庭']
kidsnifty_230110334036_008,ハーゲンダッツ,ハーゲンナッツ,商品名に注意,アイスクリームの名前の聞き間違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '商品名']",['家庭']
kidsnifty_230110334036_009,モニタリング,モニタニング,番組名に注意,テレビ番組名の聞き間違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', 'テレビ']",['家庭']
kidsnifty_230110334036_010,注意力散漫,注意力三万,言葉に注意,四字熟語の聞き間違い。,True,kidsnifty_230110334036,https://kids.nifty.com/cs/kuchikomi/kids_soudan/list/aid_230110334036/1.htm,日本語,"['子ども', '聞き間違い', '言葉遊び']",['学校']
