MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
eichie_9568_001,ジングルベル,ジングルベー,幼児語に注意,3歳頃までの覚え間違い。歌詞を耳で覚えていた。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞', '幼児語']","['家庭', '幼児期', '日常生活']"
eichie_9568_002,テレビ,テビリ,幼児語に注意,年中まで直らなかった定番の覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '幼児語']","['家庭', '幼児期', '日常生活']"
eichie_9568_003,エレベーター,エベレータ,幼児語に注意,年中まで直らなかった定番の覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '幼児語']","['家庭', '幼児期', '日常生活']"
eichie_9568_004,プレゼント,プゼレント,幼児語に注意,年中まで直らなかった定番の覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '幼児語']","['家庭', '幼児期', '日常生活']"
eichie_9568_005,マッチ売りの少女,マッチューリの少女,童話の題名注意,本の題名を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '本の題名']","['家庭', '幼児期', '日常生活']"
eichie_9568_006,ああ無情,アーム・ジョー,本の題名注意,本の題名を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '本の題名']","['家庭', '幼児期', '日常生活']"
eichie_9568_007,思い込んだら（巨人の星OP）,重い本棚,歌詞注意,アニメ主題歌の歌詞を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞']","['家庭', '幼児期', '日常生活']"
eichie_9568_008,聞き分けのない女の頬を（ジュリーの歌）,父は毛のない女の,歌詞注意,歌詞を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '歌詞']","['家庭', '幼児期', '日常生活']"
eichie_9568_009,太陽系,たいよんけ,理科用語注意,理科用語を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '理科用語']","['家庭', '幼児期', '日常生活']"
eichie_9568_010,看護婦さん,かんごくさん,職業名注意,職業名を耳で覚えていたための覚え間違い。,True,eichie_9568,https://eichie.jp/advisements/9568,日本語,"['子供', '聞き間違い', '職業名']","['家庭', '幼児期', '日常生活']"
