MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
ameba_blogtag_kikimachigae_001,Z,ジェット,アルファベット注意,Z（ゼット）を「ジェット」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', 'アルファベット', '電話対応', 'コミュニケーション', '非母語話者（英語）']","['電話', '日常生活']"
ameba_blogtag_kikimachigae_002,しむらしんじ,ちむらちんじ,名前注意,電話で「ちむらしんじ」さんの名前を「しむらしんじ」や「ちむらちんじ」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '名前', '電話対応', 'コミュニケーション']","['電話', '仕事']"
ameba_blogtag_kikimachigae_003,洗濯機,ケンタッキー,日常会話注意,「洗濯機」を「ケンタッキー」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '日常生活', 'コミュニケーション']","['作業所', '日常生活']"
ameba_blogtag_kikimachigae_004,ばさき,馬刺し,日常会話注意,「ばさき（アルバイト先）」を「馬刺し」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '日常生活', 'コミュニケーション']","['家庭', '日常生活']"
ameba_blogtag_kikimachigae_005,低電圧駆動,停電は続くよ,授業注意,授業中「低電圧駆動」を「停電は続くよ」と聞き間違えてPCに入力した。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '学校', '授業', 'コミュニケーション']","['学校', '授業']"
ameba_blogtag_kikimachigae_006,男性の縛り方,番線の縛り方,日常会話注意,「男性の縛り方」と聞こえたが、実際は「番線の縛り方」だった。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '日常生活', 'コミュニケーション']","['家庭', '日常生活']"
ameba_blogtag_kikimachigae_007,Chapstick（リップクリーム）,Chopsticks（お箸）,英語注意,英語で「Chapstick（リップクリーム）」を「Chopsticks（お箸）」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '英語', '非母語話者', 'コミュニケーション']","['海外', '日常生活']"
ameba_blogtag_kikimachigae_008,大腿骨骨折,だいたい全部骨折,医療現場注意,医者の「大腿骨骨折」を「だいたい全部骨折」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '医療', 'コミュニケーション']","['医療現場', '家庭']"
ameba_blogtag_kikimachigae_009,ケロッピ,괴롭히다（ケロッピダ）,韓国語注意,韓国語の「괴롭히다（ケロッピダ）」をサンリオキャラ「ケロッピ」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', '韓国語', '非母語話者', 'コミュニケーション']","['学校', '授業', '海外']"
ameba_blogtag_kikimachigae_010,古波蔵恵里（こはぐらえり）,フォアグラ（恵里）,ドラマ注意,ドラマの登場人物名「古波蔵恵里」を「フォアグラ（恵里）」と聞き間違えた。,True,ameba_blogtag_kikimachigae,https://blogtag.ameba.jp/news/%E8%81%9E%E3%81%8D%E9%96%93%E9%81%95%E3%81%88,日本語,"['聞き間違い', 'テレビ', 'コミュニケーション']","['家庭', 'テレビ視聴']"
