MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
girlschannel_307226_001,ちょっと近所に行ってくる,ちょっとインド行ってくる,母音が同じで注意,家庭内での会話。相手も驚いた。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_002,ジージャンほしい,じーちゃん？,子音の違いに注意,子供が親に伝えた時の聞き間違い。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,child,parent,ja
girlschannel_307226_003,これ食べて,胸食べて,発音が似ている,友人同士、後ろから声をかけられて誤解。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,friend,friend,ja
girlschannel_307226_004,超勤（ちょうきん；残業のこと）,貯金,職場用語に注意,新しい職場での専門用語の聞き間違い。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_005,道端アンジェリカ,道端安全課,有名人名に注意,有名人の名前を聞き間違えた例。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_006,国民栄誉賞,国民栄養賞,ニュース用語に注意,ニュースなどでの聞き間違い。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_008,踊ろよLADY やさしいスローダンス,踊ろよLADY やさしいソウルダンス,歌詞の空耳に注意,B'zの歌詞の空耳。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_009,拝啓この手紙,拝啓この手がね,歌詞の空耳に注意,アンジェラ・アキの歌詞の空耳。（注：これはそもそも母音がかなり「え」に近い）,True,girlschannel_307226,https://girlschannel.net/topics/307226/,,,ja
girlschannel_307226_010,公衆の立ち入り,子牛の立ち入り,アナウンスの聞き取りに注意,電車アナウンスの聞き間違い。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,announcer,passenger,ja
girlschannel_307226_012,ケンタッキー買ってきて,洗濯機買ってきて,発音の違いに注意,親子の電話での聞き間違い。,True,girlschannel_307226,https://girlschannel.net/topics/307226/,child,parent,ja
