MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
syunkon_12835221992_001,茶碗蒸し,チャー蒸し,聞こえたまま脳内変換に注意,コメントで「チャー蒸し」と勘違いしていた人がいた,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_002,茶封筒,チャブート,専門用語と思い込まないよう注意,美術の先生の「茶封筒」を専門用語「チャブート」と思い込んでいた,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,美術の先生,,ja
syunkon_12835221992_003,作務衣（さむえ）,サムウェイ,字面を知らないと誤認しやすい,居酒屋バイトで「サムウェイ」と思い込み、後輩にも使っていた,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,居酒屋バイト,後輩,ja
syunkon_12835221992_005,ご自慢の時計さ,五十万の時計さ,歌詞の空耳に注意,子どもが歌詞を間違えて歌っていた,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,子ども,,ja
syunkon_12835221992_006,思い込んだら,重いコンダラ,空耳の定番,「巨人の星」の歌詞の空耳,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_007,玉乗り仕込みたいね,たまのりしこみたいね,空耳の定番,「ドラゴンボール」の歌詞の空耳,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_008,楽しい個のならめいっぱい,楽しい個のなら飴いっぱい,空耳の定番,「ちびまるこちゃん」の歌詞の空耳,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_009,暗い夜道は,暗いよ道は,空耳の定番,「赤鼻のトナカイ」の歌詞の空耳,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_010,異人さん,いい爺さん,空耳の定番,「赤い靴」の歌詞の空耳,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_011,汚職事件,お食事券,空耳の定番,空耳の定番,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_012,台風一過,台風一家,空耳の定番,「台風一過」と「台風一家」の聞き間違い,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
syunkon_12835221992_013,誤って転落,謝って転落,空耳の定番,空耳の定番,True,syunkon_12835221992,https://ameblo.jp/syunkon/entry-12835221992.html,,,ja
