MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
posfie_nDGXf53_001,MRI,芋洗い,"アルファベットを一音ずつ区切り「エム-アール-アイ」と復唱し合う。","2011-09-27 20:03、茨城の義母が病院の検査を話した電話で、@yagajun0218が「MRI」を「芋洗い」と誤聴した事例。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['医療', '聞き間違い', '病院', '同音異字', '生活']","['病院', '口頭伝達']"
posfie_nDGXf53_002,ICU,足湯,"頭字語をアルファベット読み（アイ-シー-ユー）で伝え、所属病棟名を添えて確認する。","2011-09-27 21:18、ナレーター@madokaxvoiceが診療説明を受けた場面で「ICU」が「足湯」に聞こえた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['医療', '聞き間違い', '病院', '同音異字', '生活']","['病院', '口頭伝達']"
posfie_nDGXf53_003,藤沢周平,富士山周辺,"人名をゆっくりフルネームで発音し、作家である旨を先に示す。","2011-09-27 21:54、@setsu_tanが会話中に作家名「藤沢周平」を地名「富士山周辺」と取り違えた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['人名', '聞き間違い', '同音異字', '生活']","['口頭伝達']"
posfie_nDGXf53_004,錦糸町,警視庁,"駅名と共に路線名や『駅』を付けて伝え、復唱を求める。","2011-09-27 23:13、@Kannari_Yがタクシーで目的地『錦糸町』を伝えたところ、『警視庁』前に到着した。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['地名', '聞き間違い', 'タクシー', '交通', '同音異字', '生活']","['タクシー', '口頭伝達']"
posfie_nDGXf53_005,白河町,平河町,"区名を添えて『千代田区平河町』などと正式に指示する。","2011-09-27 23:40、@mspresea14の父が江戸弁で『白河町まで』と告げ、タクシーが『平河町』へ向かった。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['地名', '聞き間違い', 'タクシー', '交通', '同音異字', '生活']","['タクシー', '口頭伝達']"
posfie_nDGXf53_006,たまプラ,鎌倉,"略称を避け『たまプラーザ駅』と完全形で伝える。","2011-09-27 23:53、@1979es335が渋谷からタクシーで『たまプラ』と言い、運転手が『鎌倉』へ向かいかけた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['地名', '略称', '聞き間違い', 'タクシー', '交通', '生活']","['タクシー', '口頭伝達']"
posfie_nDGXf53_007,メット,熱湯,"機材名を『ヘルメット』まで言い切り、危険語と区別する。","2011-09-28 00:03、馬術部の先輩が『メット持ってきて！』と呼びかけた際、後輩が『熱湯です！』と聞き違えた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['部活動', '聞き間違い', '同音異字', '生活']","['部活動', '口頭伝達']"
posfie_nDGXf53_008,プリン,うに,"デザート注文時は『デザートのプリン』のように品目を補う。","2011-09-28 00:05、@utaco117が回転寿司で『プリン』を頼んだところ『うに』が届いた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['食べ物', '聞き間違い', '飲食店', '同音異字', '生活']","['飲食店', '口頭伝達']"
posfie_nDGXf53_009,プリン,ブリ,"魚介とデザートを区別するため『甘いプリン』など修飾語を加える。","同じ店で訂正後も『プリン』が『ブリ』と聞こえ、刺身が届いた。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['食べ物', '聞き間違い', '飲食店', '同音異字', '生活']","['飲食店', '口頭伝達']"
posfie_nDGXf53_010,大倉山,大岡山,"東横線の『横浜市大倉山駅』など路線を添える。","@Uechilineがタクシーで『大倉山』と伝えた際、『大岡山』に連れて行かれた経験を語った（時刻未記載）。",True,posfie_nDGXf53,https://posfie.com/@ito3com/p/nDGXf53,日本語,"['地名', '聞き間違い', 'タクシー', '交通', '同音異字', '生活']","['タクシー', '口頭伝達']"
