MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
AcrugLVnrLE_001,五反田,五反野,『JR五反田駅』『東武五反野駅』と駅名＋区／路線を添え、“ごた” と “ごたん” の語尾を確認する。,動画本編の冒頭ペア。品川区の繁華街『五反田』へ行きたかった客が、足立区住宅地『五反野』で降ろされそうになった体験談。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_002,板橋,飯田橋,『板橋区板橋本町』『千代田区飯田橋駅』と区名を明示し、“た” 母音を強調して復唱する。,『‐たばし』が共通で外国人乗客は聞き分け困難、と動画内で注意喚起。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_003,田端,蒲田,『北区田端駅』『大田区蒲田駅』と区名＋路線をセットで伝え、鼻濁音を区別。,北区在住者が帰宅時『田端』を告げたところ、運転手が羽田方面『蒲田』へ向かった実例を紹介。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_004,入谷,日比谷,『台東区入谷』『千代田区日比谷』と区名を必ず添え、“いり” と “ひび” の母音差を明瞭に。,浅草近くの下町『入谷』と都心オフィス街『日比谷』は距離が離れており誤送リスク大と動画で説明。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_005,芝,千葉,『港区芝公園』『千葉市中央区』と県名・区名を明示し、語頭子音“し” と“ち” の違いを確認。,都内乗車でも千葉市へ行くと大移動になるため、ドライバーが特に注意していると紹介。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_006,芝,木場,『芝公園（港区）』『木場駅（東西線）』とランドマーク＋区名を添え、濁音の有無を確認する。,動画本編で紹介。港区の芝を指示した乗客が、似音の『木場』に連れて行かれた例。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_007,鳩ヶ谷,幡ヶ谷,県名・区名を付け『川口市鳩ヶ谷』『渋谷区幡ヶ谷』と伝え、子音“はと” と“はた” を区別。,乗車時に『埼玉』を付けず『鳩ヶ谷』と言うと高確率で都内『幡ヶ谷』へ行かれるとドライバー談。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_010,幡ヶ谷,世田谷,『渋谷区幡ヶ谷』『世田谷区役所』など行政区名を添え、“はたがや / せたがや” の母音差を確認。,動画では『幡ヶ谷→世田谷』と誤送されたらかなり遠回りになる例として紹介。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_011,町田,町屋,『町田市・町田駅』『荒川区・町屋駅』と市区名＋路線をセットで伝える。,『まち-』共通で音声のみだと誤認されやすいと動画で解説。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
AcrugLVnrLE_012,八潮,八千代,県名付き『埼玉県八潮市』『千葉県八千代市』と必ず言い、“しお / ちよ” の子音差を明瞭に。,首都高利用で真逆方向へ行きかねないとドライバーが警戒。,True,youtube_AcrugLVnrLE,https://www.youtube.com/watch?v=AcrugLVnrLE,,,ja
