MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
posfie_OOEDO4_001,清水建設,秘密警察,注意が必要,電話の取次で「秘密警察」と聞き間違えたが、実際は「清水建設」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_002,港湾（こうわん）,公安（こうあん）,注意が必要,役所のバイトが「公安」から電話と伝えたが、実際は「港湾」部署だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_003,東京ゲームショー,東京刑務所,注意が必要,「東京刑務所」から電話と言われたが、実際は「東京ゲームショー」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_004,マインズの新倉さん,舞鶴の新倉さん,注意が必要,「舞鶴の新倉さん」と聞こえたが、実際は「マインズの新倉さん」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_005,県内の方ですか？,チェンマイの方ですか？,注意が必要,スーパー銭湯で「チェンマイの方ですか？」と聞かれたが、実際は「県内の方ですか？」,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_006,材包部屋,財宝部屋,注意が必要,「財宝部屋」と聞き間違えたが、実際は「材包部屋」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_007,錦糸町,警視庁,注意が必要,タクシー乗務員が「警視庁」と「錦糸町」を聞き間違えた。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,タクシー乗務員,,ja
posfie_OOEDO4_008,石川島播磨,光ファイバー,注意が必要,電話で「光ファイバー」と聞こえたが、実際は「石川島播磨（現IHI）」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_009,あかつき印刷,明石警察,注意が必要,「明石警察」と聞き間違えたが、実際は「あかつき印刷」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_010,別所医院,ベッドインです,注意が必要,「ベッドインです」と名乗る電話が実は「別所医院」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_011,人事沢田,ジェームス・サワダ,注意が必要,「ジェームス・サワダ」と聞こえたが、実際は「人事沢田」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_012,綾瀬市,アイアン戦士,注意が必要,関西人が「綾瀬市」を「アイアン戦士」と聞き間違えた。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_013,ビチビチウンコ,三菱銀行,注意が必要,子供が「三菱銀行」を「ビチビチウンコ」と聞き間違えた。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,子供,,ja
posfie_OOEDO4_014,北条市漁協,北条シゲキヨ,注意が必要,「北条シゲキヨさん」と聞こえたが、実際は「北条市漁協」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_015,マレーシア,丸石屋,注意が必要,マレーシアの駐在員からの電話が「丸石屋さん」になった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,駐在員,,ja
posfie_OOEDO4_016,吉右衛門,ピチレモン,注意が必要,「吉右衛門」と「ピチレモン」を聞き間違えた。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_017,倖田來未,江沢民,注意が必要,子供が「江沢民の歌」と言ったが、実際は「倖田來未」だった。,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,子供,,ja
posfie_OOEDO4_018,根室,目黒,注意が必要,根室ﾚｰﾀﾞｰｻｲﾄから目黒の補給部隊に電話,True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_019,医師会病院,石狩病院,注意が必要,入院時の通達エラー(文字の確認がないのでおそらく電話),True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_020,口笛吹いてください,口紅拭いてください,注意が必要,入院時の通達エラー(文字の確認がないのでおそらく電話),True,posfie_OOEDO4,https://posfie.com/@OOEDO4/p/aaGyT0z,,,ja
posfie_OOEDO4_021,エアロスミスのCDを買ってきて,ウィル・スミスのCDを買ってきて,依頼時に洋楽バンド／俳優名を紙に書いて渡す。,2020-12-10 18:35、@nezumi3biki が友人へ頼んだ買い物を完全に別アーティストで受取った体験談。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,友人,@nezumi3biki,ja
posfie_OOEDO4_022,コードシェア便です,幸田シャーミンです,航空用語は『共同運航便』と日本語で補足し復唱する。,2020-12-10 18:36、@tsuyu2011 が CA の案内『コードシェア便』をモノマネ芸人名と聞取って緊張したエピソード。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,CA,@tsuyu2011,ja
posfie_OOEDO4_023,河合と申します,可愛いと申します,名乗りは『社名＋部署＋姓』を加えて明瞭に発音する。,2020-12-10 19:07、@eigh_sun が上司『河合です』を“可愛いです”と受け取り照れた配属初日の思い出。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,上司,@eigh_sun,ja
posfie_OOEDO4_024,歯科医師国保組合,仕返し国保組合,専門語は漢字を提示し『歯科医師』と強調して伝える。,2020-12-10 19:16、@luna_dobei が電話で組織名を聞き取り、報復機関と誤認して戦慄した十九歳時の話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@luna_dobei,ja
posfie_OOEDO4_025,入湯税はいくらですか,乳頭税はいくらですか,温泉税は『にゅう・とう』と区切り、税制パンフを示す。,2020-12-10 20:02、@robertburuce201 が受付で『入湯税』を“乳頭税”と受け取り課税基準を妄想した投稿。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@robertburuce201,ja
posfie_OOEDO4_026,丸の内よろずの○○様です,丸の内チュロスの○○様です,社名はひらがな『よろず』と書き、菓子と区別する。,2020-12-10 20:16、@BrownSugar_Hair が電話メモで社名を揚げ菓子に変換され爆笑した話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@BrownSugar_Hair,ja
posfie_OOEDO4_027,ゴールドマン・サックス証券です,ゴールド萬作商店です,外資系はアルファベット略称も添え、ゆっくり復唱する。,2020-12-10 20:54、@hansmartin10200 が外資証券を老舗商店へ化けさせた取次ぎ珍事。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@hansmartin10200,ja
posfie_OOEDO4_028,お医者様はいらっしゃいますか,大石様はいらっしゃいますか,緊急呼び出しでは『医師』を漢字で案内し誤解を防ぐ。,2020-12-10 21:01、@Bobby_Skywalker が機内で医師呼び出しを自分への指名と誤解した逸話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@Bobby_Skywalker,ja
posfie_OOEDO4_029,上でいいです,ウエディーです,領収書宛名は『上様』をフルで書き、カタカナ音写を避ける。,2020-12-10 21:10、@hamachikorekara の知人が会計で『上様』を“ウエディー”と書かれた領収書事件。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@hamachikorekara,ja
posfie_OOEDO4_030,ギリギリセーフだねー,イギリス政府だねー,語頭を強調し『ぎり‐ぎり』と区切り、聞き直す。,2020-12-10 21:15、@oggo80114900 が家族の感想を“英国政府”と脳変換し以後の家内用語に定着。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,家族,@oggo80114900,ja
posfie_OOEDO4_031,注目の的だね,中国産の綿だね,比喩表現はゆっくり発音し『的(まと)』の字を示す。,2020-12-10 21:28、@peace134 の母が横断歩道の女性を評した一言を妹が産地判定と勘違い。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,母,妹,ja
posfie_OOEDO4_032,歯科技工士でした,下着講師でした,職歴確認はふりがな付きで記入してもらう。,2020-12-10 21:33、@qamQ8Bg1xzrH6AY が面接電話で前職『歯科技工士』を“下着講師”と聞き取った採用珍事。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464,,@qamQ8Bg1xzrH6AY,ja
posfie_OOEDO4_033,SF作家クラブ御一行様,SFサッカークラブ御一行様,団体名はアルファベットを一字ずつ読み上げる。,2020-12-10 21:37、@plinivs が旅館予約で文芸団体がサッカークラブに化けた出版業界ネタ。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@plinivs,ja
posfie_OOEDO4_034,クラッシャージョウ,暮らしの女王,作品名はカタカナを明記し見出しを校正する。,同21:37、@plinivs が原稿校正でSFタイトルが家事指南書に変換されたと披露。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@plinivs,ja
posfie_OOEDO4_035,ジャイアント馬場やで,ジャイアンやで,レスラー名はフルネーム＋写真を示し誤認を防ぐ。,2020-12-10 21:42、@ModsParka が父子の銭湯会話で『ジャイアント馬場』を子が“ジャイアン”と聞いた爆笑シーン。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,父,子,ja
posfie_OOEDO4_036,天久様宛です,なめこ様宛です,名字は『あめく』とふりがなを添えゆっくり発音する。,2020-12-10 21:43、@tateon が社内書類宛名『天久様』を『なめこ様』と書かれて噴いた出来事。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@tateon,ja
posfie_OOEDO4_037,NECからお電話です,ディズニーシーからお電話です,社名はアルファベット3文字を一字ずつ読み上げる。,2020-12-10 21:45、@Clorets8lack が取次ぎで大手電機がテーマパークに化けた都市伝説を紹介。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@Clorets8lack,ja
posfie_OOEDO4_038,オリコンですか,お利口さんですか,略称は『オリコン＝音楽チャート会社』と補足し確認。,2020-12-10 21:59、@Fcha8ban3 がエレベーターで宅配員の問いを褒め言葉と聞き違えた一幕。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@Fcha8ban3,ja
posfie_OOEDO4_039,3週間前後でお届けになります,ドモホルンリンクルでお届けになります,日数表現は手指で数字を示し復唱させる。,2020-12-10 22:00、@HiroMc1 がコールセンター応対『3週間前後』を化粧品名と空耳し腹筋崩壊。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,コールセンター,@HiroMc1,ja
posfie_OOEDO4_040,毎日新聞を買ってきて,マイルドセブンを買ってきて,依頼は『新聞の銘柄』と媒体種別を明示する。,2020-12-10 22:05、@aqua329 が社指示を煙草銘柄と聞き取り売店へ走った新人の回想。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@aqua329,ja
posfie_OOEDO4_041,SVCで予約しています,五十鈴石井で予約しています,略称はアルファベットを区切り、人数も添えて確認。,2020-12-10 22:19、@nancha が居酒屋予約『SVC』を人名に誤認され入店拒否された珍事。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@nancha,ja
posfie_OOEDO4_042,川口ジャスコへ,川口女子校へ,目的地は『ショッピングモール』など施設種別を添える。,2020-12-10 22:24、@HodiTpe がタクシーで『川口ジャスコ』を告げたところ女子校へ連行された伝聞。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,タクシー乗務員,@HodiTpe,ja
posfie_OOEDO4_043,リーガルさんから電話です,イイガヤさんから電話です,社名はスペル『REGAL』を併記しゆっくり復唱する。,2020-12-11 10:01、@color89 が靴メーカーを地方商店名に聞き替えた取次ぎ失敗談。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@color89,ja
posfie_OOEDO4_044,宇宙センターから電話です,物流センターから電話です,部署名は業務内容を添えて『物流センター』と示す。,2020-12-11 21:43、@railways2019 が新人時代に宇宙研究機関と取り違えた取次ぎエピソード。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@railways2019,ja
posfie_OOEDO4_045,Annual reportを送ってください,アニマルレポートを送ってください,依頼メール件名に『年次報告書』を併記し誤解を防ぐ。,2020-12-10 23:18、@Hayamanchu が電話取次ぎで『annual report』を動物レポートと聞き違え噴いた話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@Hayamanchu,ja
posfie_OOEDO4_046,ゴディバのチョコありますか,ゴリラのチョコありますか,ブランド名を指差し『GODIVA』ロゴで確認する。,2020-12-11 13:11、@mnmsk96481 が売場で高級チョコ探索依頼を霊長類チョコと誤解した接客珍事。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,接客,@mnmsk96481,ja
posfie_OOEDO4_047,英子と申します,A子と申します,名前説明時は『英語の英』と書いたメモを提示する。,2020-12-11 13:20、@l_i_t_t_l_e_ の母が銀行窓口で友人『英子』をローマ字置換『A子』に書かれたエピソード。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,友人,@l_i_t_t_l_e_の母,ja
posfie_OOEDO4_048,尾羽さんからお電話です,オバサンからお電話です,姓はフルネーム＋所属を添えて敬称を区別する。,2020-12-11 18:01、@yoshi6451 が内線で姓『尾羽』を“オバサン”と連呼し叱責された新人時代の失敗談。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,新人,@yoshi6451,ja
posfie_OOEDO4_049,岡三証券からお電話です,お母さん商戦からお電話です,証券会社名は『おかさんしょうけん』と区切り発音。,2020-12-11 17:04、@djrockman_ が取次ぎで大手証券を“母親大戦”と聞き替え社内をざわつかせた。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@djrockman_,ja
posfie_OOEDO4_050,厚生年金会館,好青年金快感,正式施設名を漢字で提示し『ねんきん』を強調。,2020-12-11 18:23、@hideaki_1204 がPC変換ミスで公共施設が青春スローガンに化けた誤入力。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@hideaki_1204,ja
posfie_OOEDO4_051,八名信夫様ご一名,八名様ご一名,予約名は姓＋名、人数は別欄に記入して誤算を防ぐ。,2020-12-11 09:38、@pafupafuun がホテルで俳優『八名信夫』を人数カウントと誤解し布団8組敷かれた逸話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@pafupafuun,ja
posfie_OOEDO4_052,赤ちゃんの駅です,赤ちゃんの遺棄です,施設名称は『授乳休憩所』と補足し漢字『駅』を示す。,2020-12-11 08:18、@Yuuusui が行政窓口へ問い合わせた際、子育て支援施設が虐待ニュースに聞こえ動揺した。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@Yuuusui,ja
posfie_OOEDO4_053,スポニチ買ってこい,スポンジ買ってこい,依頼メモに『スポーツ新聞』と媒体種類を明記する。,2020-12-11 09:52、@molirinho がビートたけし逸話を引用し新聞が洗浄道具に化けた笑い話。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@molirinho,ja
posfie_OOEDO4_054,レイコください,礼子ください,関西喫茶でアイスコーヒーは『冷コー』とカタカナ表記。,2020-12-11 08:51、@mmkko6538 が喫茶店でアイスコーヒーの略称を女性名と誤解して狼狽した思い出。,True,posfie_OOEDO4,https://twitter.com/FUKUBLOG/status/1336636276699582464_日本語,,@mmkko6538,ja
