MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
girlschannel_3698171_001,今日母さんいる？,今日傘いる？,「いる」と「要る」の発音に注意,小5の息子と母の会話。母が「家にいる？」と勘違い。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '家族', '日常生活']","['家庭', '親子']"
girlschannel_3698171_002,フクロウ,おふくろ,母音・子音の聞き分けに注意,呼ばれたと思ったら実は「おふくろ」と呼んでいた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '家族']",['家庭']
girlschannel_3698171_003,たまプラまで,鎌倉まで,地名の聞き間違いに注意,タクシーで「たまプラ（たまプラーザ）」と伝えたが「鎌倉」と聞き間違えられた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '交通', '地名']",['タクシー']
girlschannel_3698171_004,認識してる？,妊娠してる？,職場での確認ははっきりと,上司の確認を「妊娠」と聞き間違えた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '職場']",['職場']
girlschannel_3698171_005,カニューレ,兄上,専門用語は事前に調べておく,医療ドラマの用語を知らず「兄上」と聞こえた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '医療', 'テレビ']","['家庭', 'テレビ']"
girlschannel_3698171_006,バスケ部の〇〇くん,どスケベの〇〇くん,子音の聞き分けに注意,友人の話を下ネタに聞き間違えた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '学校']",['学校']
girlschannel_3698171_007,消毒液,ショートケーキ,高齢者や入れ歯の方の発音に注意,スーパーでおじいちゃんが「消毒液」と言ったのを「ショートケーキ」と聞き間違えた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '店舗']",['スーパー']
girlschannel_3698171_008,大事をとって,大腸を取って,医療現場でははっきりと,医師の説明を深刻に聞き間違えた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '医療']",['病院']
girlschannel_3698171_009,包装,放送,職歴や職種の発音に注意,職歴を聞かれて「包装」と答えたが「放送」と聞き間違えられた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', '職場']",['職場']
girlschannel_3698171_010,第三者委員会,大サンシャイン会,ニュースや会議用語の聞き間違いに注意,テレビの言葉を明るい会合名に聞き間違えた。,True,girlschannel_3698171,https://girlschannel.net/topics/3698171/,,,日本語,"['聞き間違い', 'テレビ']","['家庭', 'テレビ']"
