MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
udiscover_misquoted_001,wrapped up like a douche,revved up like a deuce,歌詞カードや公式音源で確認しよう,Manfred Mann's Earth Band「Blinded By The Light」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_002,Excuse me while I kiss this guy,Excuse me while I kiss the sky,歌詞カードや公式音源で確認しよう,Jimi Hendrix「Purple Haze」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_003,Sweet dreams are made of cheese,Sweet dreams are made of this,歌詞カードや公式音源で確認しよう,Eurythmics「Sweet Dreams」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_004,"Hold me closer, Tony Danza","Hold me closer, tiny dancer",歌詞カードや公式音源で確認しよう,Elton John「Tiny Dancer」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_005,"She’s got electric boobs, a bowl of soup","She’s got electric boots, a mohair suit",歌詞カードや公式音源で確認しよう,Elton John「Bennie And The Jets」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_006,All the lonely Starbucks lovers,Got a long list of ex-lovers,歌詞カードや公式音源で確認しよう,Taylor Swift「Blank Space」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_007,I’ll never leave your pizza burning,I’ll never be your beast of burden,歌詞カードや公式音源で確認しよう,The Rolling Stones「Beast Of Burden」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_008,cool whip in my hair,cool wind in my hair,歌詞カードや公式音源で確認しよう,Eagles「Hotel California」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_009,"If you change your mind, Jackie Chan","If you change your mind, take a chance",歌詞カードや公式音源で確認しよう,ABBA「Take A Chance On Me」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_010,she’s giving me her citations,she’s giving me excitations,歌詞カードや公式音源で確認しよう,The Beach Boys「Good Vibrations」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_011,"I’m a prima donna, dying in the dust","Ivory Madonna, dying in the dust",歌詞カードや公式音源で確認しよう,UB40「Food for Thought」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_012,I blow bubbles when you are not here,My world crumbles when you are not near,歌詞カードや公式音源で確認しよう,Macy Gray「I Try」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_013,if we’re naked or not,if we make it or not,歌詞カードや公式音源で確認しよう,Bon Jovi「Livin’ On A Prayer」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_014,hangin’ in a chow line,hanging in and jiving,歌詞カードや公式音源で確認しよう,Jim Gilstrap & Blinky Williams「Good Times」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
udiscover_misquoted_015,"if it’s not love, then it’s the bum","if it’s not love, then it’s the bomb",歌詞カードや公式音源で確認しよう,The Smiths「Ask」の有名な空耳。,True,udiscover_misquoted,https://www.udiscovermusic.jp/stories/the-most-misquoted-song-lyrics,,,en
