MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
tvtokyo_1764513_001,都民ファーストの会,冨田ファーストの会,注意が必要,アナウンサー冨田アナのファンが集まる会のように聞こえた,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,冨田アナ,,ja
tvtokyo_1764513_002,富士は日本一の山,藤井は日本一のちゃま,注意が必要,「ゆいちゃま」というニックネームからの連想,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,,,ja
tvtokyo_1764513_003,IHにしようか,相内優香,注意が必要,コンロの話題からアナウンサーの名前に空耳,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,相内優香,,ja
tvtokyo_1764513_004,モモンガ,ももかアナ,百花（ももか）；注意が必要,動物名がアナウンサー名に聞こえた,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,ももかアナ,,ja
tvtokyo_1764513_005,マミーマート,舞美アナ,注意が必要,スーパー名がアナウンサー名に聞こえた,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,舞美アナ,,ja
tvtokyo_1764513_006,一目見たとき,ひとみんととみゆき,注意が必要,ファンになった時の気持ちを表現した空耳,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,,,ja
tvtokyo_1764513_007,振れ幅,古旗アナ,注意が必要,単語がアナウンサー名に聞こえた,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,古旗アナ,,ja
tvtokyo_1764513_008,ミムラス,三村,注意が必要,番組出演者名に空耳,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,三村,,ja
tvtokyo_1764513_009,雄叫び,大竹,注意が必要,番組出演者名に空耳,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,大竹,,ja
tvtokyo_1764513_010,燃え盛る,モヤさま,注意が必要,番組名に空耳,True,tvtokyo_1764513,https://community.tv-tokyo.co.jp/view/post/0/1764513,,,ja
