MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
A215C215E6370BE28,これは100マイクロか,これは100mgか,・冠攣縮誘発試験に使用する薬剤(オビソート)の希釈方法について、誰が見てもわかりやすい手順書(画像使用)へ変更した。・看護師が担当する業務を采配する際は、経験録と技術評価をもとに配置する。また、経験の有無について担当者本人への確認を徹底する。 ・薬剤使用時は必ず看護師2名、もしくは看護師と医師によるダブルチェックを実施する。また、タイムアウトの際は特異性がある薬剤を使用することを発生し全員で情報を共有する。,看護師は、医師Aから「オビソートを溶かして」と準備依頼を受け、オビソートの準備を開始。看護師は手順を確認しながら医師Aへ「オビソート1Aを生食10mlで溶かせば良いですか」と確認すると「それでいい」と返答がありオビソート100mg1Aと生食10mlを溶解した。看護師が作成したオビソートのシンリンジを提供する際に、医師Bから「これは100マイクロか」と確認されたが、看護師は100mgと聞き間違え「はい」と返答した。,1,A215C215E6370BE28,https://www.med-safe.jp/mpsearch/SearchReportResult.action,医師,看護師,ja
A3A19D863B70C304F,等比重でいいですか,高比重でいいですか,マーカインの等比重、高比重は聞き間違えやすく、規格もどちらも0.5%であるため、確認時には「等しい方ですか」「高いほうですか」など聞き方を変えて聞き間違いが起こらないような確認を行う。また、口頭のみでなく、薬品名を見ながら指差し呼称、ダブルチェックを徹底して行う。予定手術の際は、口頭指示でのやり取りを少なくするため、あらかじめ使用薬剤のオーダー、指示書での確認、準備ができるよう、システムを改善中である。当該科での脊髄麻酔時は、高比重マーカインのみを使用するルールとした。,等比重と高比重は聞き間違えやすいものであり、医師は高比重と思いながら、「等比重でいいですか」との看護師の確認に「それでいい」と答えたことでエラーが発生した。看護師が薬を準備した際に、口頭確認だけで、医師に薬を見せて薬品名を確認するというダブルチェックが行われず、医師に薬を渡す際にも薬のダブルチェックが行われなかった。本来のルールが守られていなかったことが要因である。,1,A3A19D863B70C304F,https://www.med-safe.jp/mpsearch/SearchReportResult.action,看護師,医師,ja
A594B64FC6D49F945,プロタミン,ドブタミン,・医師、看護師によるダブルチェックを厳守する。・投与内容に疑問がある場合、医師以外のスタッフにも確認する。,・指示を受けた看護師がプロタミンという薬剤を知らず、ドブタミンと聞き間違えた。・ドブタミン投与前、看護師は医師に薬剤のアンプルを見せて確認し、投与前にも口頭で再度確認したが、誤りに気付かなかった。,1,A594B64FC6D49F945,https://www.med-safe.jp/mpsearch/SearchReportResult.action,医師,看護師,ja
A70EFE685048D1274,入室不可,入室可能,１．ＭＲＩ検査室の前室での持ち物確認が終了するまで入室しないよう技師が必ず説明する。また、持ち物確認が終了するまでＭＲＩ検査室のドアを閉めておく。２．ＭＲＩ検査室入室時に金属探知機のブザーが鳴ったら必ず立ち止まることを徹底する。３．救急科医師、ＴＣＣ看護師にＭＲＩ検査実施時の注意点を再周知する。,１．医師が患者をＭＲＩ検査室に入室させてよいか口頭で確認したところ、技師は「入室不可」と返事をした。しかし、医師は技師の返事を「入室可能」と聞き間違えてＭＲＩ検査室に入室した。また、ＭＲＩ検査室のドアが半分開いていたため、入室可能と医師が誤認した。２．磁性体のＭＲＩ検査室への持ち込みが禁忌であることを医師が十分に認識していなかった。３．ＭＲＩ検査室の入口の金属探知機のブザーがよく鳴るため、危険意識が薄れていた。,1,A70EFE685048D1274,https://www.med-safe.jp/mpsearch/SearchReportResult.action,技師,医師,ja
A8BCEBDC7562F792E,9番MRI室,救急MRI室,1.コードブルーのシステムの見直しを図る。全職員に対して、再度コードブルーの周知を行う。2.MRI検査中の患者の安全確保。技師は撮影に集中し操作していることから、一人では観察が十分にできず、患者の変化に気づけない可能性があるため、酸素を使用中の患者や、重症患者の検査の場合は看護師が観察を行うようにする。3.検査中の急変対応について、これまで同様に月に1回訓練を実施していく。,3.コードブルーにおいては、電話で要請し、電話を受けた事務職員が一斉放送をする仕組みとなっている。コードブルー要請時、発生場所を伝えるが「9番MRI室」と伝えたが、「救急MRI室」と聞き間違いが発生し、その場所の確認を行い放送が遅れた。事務職員のコードブルーに対する認識も薄かったと考えられた。,1,A8BCEBDC7562F792E,https://www.med-safe.jp/mpsearch/SearchReportResult.action,,,ja
A8CA4189851874303,持ってきていない,飲んでいない,持参薬の有無の確認を、薬剤師が実施するよう体制を整える。ロータブレーダー後には、血栓性閉塞がおきやすいので、医師は抗凝固薬が投与されているかを確認する。電子カルテの指示画面等についても、必要な情報を得られるようにシステム変更を検討する。 ・病棟と薬剤部で検討し、別の病棟を担当する薬剤師が当該病棟の担当薬剤師をバックアップし、常駐薬剤師と同じく患者が持参薬を持っているかどうか直接面談して情報を得ることにした。・入院時の持参薬管理は、看護師を介入せず、薬剤師が持参薬の管理を行なうことにした。薬剤師は持参薬の有無に関わらず電子カルテへ持参薬について入力することにし、持参薬はあるが、持参されなかった薬についても取りこぼしがないように管理することとなった。・薬剤部で抗凝固剤などの中止や再開忘れがあった情報を収集し、検討することにしている。・処方薬剤数が多い患者では「実施入力画面」の表示に時間がかかるため、医療情報部から「実施入力画面」の画面表示のレスポンス改善の申し入れをメーカーに行なっているところである。・処方の服用確認方法を周知徹底するため、各部署に文書で「患者が処方薬を服用したか確認できるのは『実施入力画面』だけです。」と注意喚起を行なった。・総合入院センターで患者の持参薬を確認してから、病棟に入院することができるか検討したい。,川崎病冠動脈瘤の既往がある患者で、入院前よりバイアスピリンを継続内服していた。入院時患者は、外来で処方されたバイアスピリンを持参しなかった。医師はバイアスピリンを持参して継続内服しているものと思い込んだ。看護師も母親に薬の確認をしたが、「持ってきていない」を飲んでいないと聞き間違い、そう思いこんだ。,1,A8CA4189851874303,https://www.med-safe.jp/mpsearch/SearchReportResult.action,患者の母親,看護師,ja
A8E7ED2C5F1DD6C64,アドレナリン1mg iv,ノルアドレナリン1mg iv,・心肺停止時のアルゴリズムや急変時対応について、部署教育の充実。・医療者間の連携およびコミュニケーションの強化（チェックバックを機能させる）。,患者がくも膜下出血に由来する心肺停止状態となり、CPRが開始された。医師からの「アドレナリン1mg iv」の指示を、看護師Aは「ノルアドレナリン1mg iv」と聞き間違え、ノルアドレナリン1mgを準備し側管から静注した。看護師Bが使用後の空アンプルを見て、誤投与が判明した。,1,A8E7ED2C5F1DD6C64,https://www.med-safe.jp/mpsearch/SearchReportResult.action,医師,看護師,ja
A92CAA92595CFEA0F,皮下注射,筋肉注射,・医師にも指示簿を声出し確認をするよう促す。・経験が浅い医師の場合は声掛けも行いながら実施する。・医師が穿刺する際は児から目を離さずに介助に入る。・研修医が一人で，特に初回手技時は上級医の監視下のもとに行う。,,1,A92CAA92595CFEA0F,https://www.med-safe.jp/mpsearch/SearchReportResult.action,,研修医,ja
AA00B2C03C66067AD,アドレナリン,ノルアドレナリン,・蘇生時は現場が緊迫した状況となり煩雑化しやすい。医師は薬剤名・投与量・投与方法を明確に指示する。指示受け側も復唱による確認を行う。・急変時対応の薬剤使用を含めた訓練を行う。・薬剤の名称一部が同じであるため救急カート内の配置薬品の再検討を行う。,・医師Aは「アドレナリン」と指示を出したが、指示を受けた看護師は「ノルアドレナリン」と聞いており、ノルアドレナリン1mgをシリンジに吸い医師Bへ渡した。医師Bは手渡されたものがアドレナリンと思い患者へ投与した。・医師がノルアドレナリンと指示を誤ったのか、看護師が聞き間違えノルアドレナリンを準備したのかは不明。,1,AA00B2C03C66067AD,https://www.med-safe.jp/mpsearch/SearchReportResult.action,医師,看護師,ja
AAC2FA3F396C1C45C,パーキロ0.2mgで,パーキロ2mgで,・回診時のコンサルテーション内容は、メモをとり、診療録に必ず記載する。・病棟で使用する薬剤一覧表（用量換算表）の作成と掲示。・明確な疑義照会が出来るように啓発ポスターを掲示する（疑問に思った量や内容・投与方法等を声に出し、一緒にワークシートを指差して確認しあう）・使用しなれていない、あるいは初めて使用する薬剤は、事前に医薬品情報を検索してから使用するよう、啓発ポスターを掲示する。・ローテートしてくる研修医と病棟医への病棟オリエンテーションの強化。・薬剤部では、抗てんかん薬の散薬装置瓶に小児薬用量を表示し、調剤時必ず確認する。・病棟担当薬剤師の病棟業務時間を10時間/週→15時間/週に増加させ、処方鑑査を強化する。・コンピュータシステム上の改善をする（医師が処方指示をする際、患者の体重から薬剤適応量を計算し、設定量逸脱時はアラート表示がされる。）,・病棟医は週1回の神経回診時に、小児神経医師へ患者の痙攣に対する薬剤コントロールについて相談した際、小児神経医が「マイスタンをはじめてみてはどうか。パーキロ0.2mgで」と口頭でアドバイスしたが、病棟医には指示量が「パーキロ2mgで」と聞こえていた。また、病棟医はその際メモをとらなかった。,1,AAC2FA3F396C1C45C,https://www.med-safe.jp/mpsearch/SearchReportResult.action,小児神経医,病棟医,ja
