MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar201104_001,昨日、投開票の名古屋市議選で、減税日本が第一党になり～,昨日、東海地方の名古屋市議選で、減税日本が第一党になり～,「投開票」と「東海地方」は音が似ている,ニュース原稿の速記で、選挙報道の文脈。話者の発音やイントネーションが原因で聞き間違いが発生。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ニュース', '政治', '速記']",['文字起こし']
coffee_break_parts_similar201104_002,まだちょっと時間があるので、企画を考えなければいけないですね。,まだちょっと時間があるので、近くを考えなければいけないですね。,「企画」と「近く」は発音が近い,会議や打ち合わせの準備中の発言。文脈から「企画」が自然だが、音が似ているため誤認。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar201104_003,２つの問題が十分クリアされてくる。,２つの問題が十分組み合わされてくる。,「クリア」と「組み合わされ」は語感が近い,問題解決の進捗説明。話者の滑舌や速さが影響し、意味が大きく変わる聞き間違い。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar201104_004,想定を超える急激な円高による価格競争力の低下が懸念される。,想定を超える急激な円高による価格競争力の経過が懸念される。,「低下」と「経過」は音が似ている,経済ニュースの速記。文脈的に「低下」が正しいが、音の類似で誤記。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ニュース', '経済', '速記']",['文字起こし']
coffee_break_parts_similar201104_005,政界は、参議院選での民主党大敗でねじれ国会となり～,政界は、参議院選での民主党大会でねじれ国会となり～,「大敗」と「大会」は音が近い,政治ニュースの速記。選挙結果の説明で、文脈的に「大敗」が正しい。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ニュース', '政治', '速記']",['文字起こし']
coffee_break_parts_similar201104_006,入社のハードルを高くすることで、おもしろいやつが入ってきて触発されるという発想で～,入社のハードルを高くすることで、おもしろいやつが入ってきて紹介されるという発想で～,「触発」と「紹介」は語感が近い,採用や組織活性化の話。文脈的に「触発」が自然だが、音の類似で誤記。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar201104_007,２つ目の戦術情報委員会でありますが～,２つ目の前述、情報委員会でありますが～,「戦術」と「前述」は音が似ている,会議や委員会の説明。専門用語の聞き間違いで、文脈から「戦術」が正しい。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar201104_008,ＯＤＡのその供与条件を見直すのか～,ＯＤＡのその供用条件を見直すのか～,「供与」と「供用」は発音が近い,ODA（政府開発援助）の条件見直し議論。専門用語の聞き間違い。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['行政', '国際', '速記']",['文字起こし']
coffee_break_parts_similar201104_009,電力設備の新設とか、信号・通信設備の改修などを行うとともに、新製車両の投入も行う～,電力設備の新設とか、信号・通信設備の改修などを行うとともに、新生車両の投入も行う～,「新製」と「新生」は音が似ている,鉄道設備の更新説明。技術用語の聞き間違い。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ビジネス', '技術', '速記']",['文字起こし']
coffee_break_parts_similar201104_010,税制がどう貨物に影響を与えるかの大きな岐路に立っている～,税制がどう貨物に影響を与えるかの大きな議論になっている～,「岐路」と「議論」は音が近い,税制の影響説明。文脈的に「岐路」が正しいが、音の類似で誤記。,True,coffee_break_parts_similar201104,不明,速記者,日本語,"['ニュース', '経済', '速記']",['文字起こし']
