MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
coffee_break_parts_similar201801_001,今後の課題ですが、ま、かなり公的な部分からの導入に～,今後の課題ですが、真っ赤な遺構的な部分からの導入に～,「公的」と「遺構的」は音が似ている,会議中の発言。速記者が「ま、かなり公的」を「真っ赤な遺構的」と誤記。発話者の抑揚や前後の文脈が影響した可能性。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_002,業務上必要なスキルがデイ・バイ・デイに必要だという自覚が～,業務上必要なスキルがＤＶＤに必要だという自覚が～,カタカナ語の聞き間違いに注意,ビジネス会議での発言。「デイ・バイ・デイ（day by day）」を「ＤＶＤ」と誤記。英語発音のカタカナ表記が原因。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_003,こんなことまで、政府オンラインで可能に～,こんなことまで、製本ラインで可能に～,「政府」と「製本」、「オンライン」と「ライン」が類似音,IT・行政関連の会話。「政府オンライン」を「製本ライン」と誤記。専門用語の聞き取りミス。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_004,この旨を請求人、明確に否定～,この旨を性急に、明確に否定～,漢字語の音の近さに注意,行政文書の説明。「請求人」を「性急に」と誤記。漢字語の音が似ているため発生。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_005,住宅が３階建てですと、Ｗｉ－Ｆｉの調子が～,住宅が桟がでかいですと、Ｗｉ－Ｆｉの調子が～,数字と名詞の聞き間違い,住宅関連の会話。「３階建て」を「桟がでかい」と誤記。数字と名詞の音が似ているため。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_006,予算規模ですと、毎年につき～,予算規模ですと、ま、一都市につき～,「毎年」と「ま、一都市」の音の連続性,行政予算の説明。「毎年」を「ま、一都市」と誤記。前置きの「ま」と続く語の連結で誤認。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_007,量、質に加えて、マイナス金利～,良質に加えて、マイナス金利～,「量、質」と「良質」は連続音で混同しやすい,金融関連の会話。「量、質」を「良質」と誤記。複数語の連続音が一語に聞こえた。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_008,当方としては現状、任意化する見通しではないと～,当方としては現状、認可する見通しではないと～,「任意化」と「認可」は発音が近い,行政手続きの説明。「任意化」を「認可」と誤記。専門用語の発音が似ているため。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_009,予算執行を前倒すため、予算現額の～,予算執行を前倒すため、予算減額の～,「現額」と「減額」は一音違い,行政予算の説明。「現額」を「減額」と誤記。会議のスピードや発音の明瞭さが影響。,True,coffee_break_parts_similar201801,,不明,速記者,ja
coffee_break_parts_similar201801_010,えっと、今の数字って、年換算？,えっと、今の数字って、年間じゃん？,「年換算」と「年間じゃん」は語尾が似ている,会議中の確認。「年換算？」を「年間じゃん？」と誤記。語尾の音が似ているため。,True,coffee_break_parts_similar201801,,不明,速記者,ja
