MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar201709_001,上場に当たって、海外でロードショー、つまりＩＲ活動も～,上場に当たって、海外で労働しよう、つまりＩＲ活動も～,「ロードショー」はIR活動の一環で使われる金融用語。,上場準備の説明中、専門用語「ロードショー」を「労働しよう」と誤認。音が似ているため発生。発話者は経営者、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['ビジネス', '金融', '速記']",['文字起こし']
coffee_break_parts_similar201709_002,規制撤廃して間口を広げるのはいいが、ちゃんと需給を調べ～,規制撤廃して間口を広げるのはいいが、ちゃんと時給を調べ～,「需給」と「時給」は音が似ているが意味が異なる。,市場調査の文脈で「需給」を「時給」と誤記。経済用語の混同。発話者は行政担当者、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['行政', '経済', '速記']",['文字起こし']
coffee_break_parts_similar201709_003,仮に親事業者が行った下請代金の～,仮におやじ業者が行った下請代金の～,「親事業者」は下請法で使われる用語。,法律用語「親事業者」を「おやじ業者」と誤記。音の類似と専門用語の認識不足。発話者は法務担当、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['行政', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar201709_004,自然保護問題として、近年の象牙に関する調査結果が～,自然保護問題として、近年の増減に関する調査結果が～,「象牙」と「増減」は音が似ているが意味が全く異なる。,環境問題の文脈で「象牙」を「増減」と誤記。発話者は環境保護団体、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['環境', '速記']",['文字起こし']
coffee_break_parts_similar201709_005,地域おこし活動ですが、需給の一致はうまくいって～,地域おこし活動ですが、需給の立地はうまくいって～,「一致」と「立地」は語尾が似ている。,地域振興の話題で「一致」を「立地」と誤記。文脈から意味が通じにくくなる。発話者は地域振興担当、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['行政', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar201709_006,駆け込み需要の余韻が残っておりですね～,駆け込み需要の要因が残っておりですね～,「余韻」と「要因」は音が似ている。,経済動向の説明で「余韻」を「要因」と誤記。意味が異なるため注意。発話者は経済アナリスト、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['経済', '速記']",['文字起こし']
coffee_break_parts_similar201709_007,この判断は当然瑕疵はないと考えており～,この判断は当然かち合わないと考えており～,「瑕疵はない」と「かち合わない」は音が似ている。,判断の正当性を述べる場面で「瑕疵はない」を「かち合わない」と誤記。法律用語の認識不足。発話者は法務担当、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['行政', '法律', '速記']",['文字起こし']
coffee_break_parts_similar201709_008,存在が確認された表層型のメタンハイドレートや～,存在が確認された競争型のメタンハイドレートや～,「表層型」と「競争型」は音が似ている。,資源開発の話題で「表層型」を「競争型」と誤記。専門用語の認識不足。発話者は技術者、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['環境', '技術', '速記']",['文字起こし']
coffee_break_parts_similar201709_009,この点をどう評価するかですが、まず１点目として～,この点をどう評価するかですが、まず言ってみるとして～,「１点目」と「言ってみる」は音が似ている。,論点整理の場面で「１点目」を「言ってみる」と誤記。発話者は行政担当、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar201709_010,問題は下の地盤であり、土木工学で基礎地盤を考えると～,問題は下の地盤であり、道路工学で基礎地盤を考えると～,「土木工学」と「道路工学」は音が似ているが分野が異なる。,技術的な説明で「土木工学」を「道路工学」と誤記。発話者は技術者、聞き手は速記者。,True,coffee_break_parts_similar201709,N/A,不明,速記者,日本語,"['技術', '速記']",['文字起こし']
