MishearID,EnvID
coffee_break_parts_similar201212_001,MOJIKOKOSHI
coffee_break_parts_similar201212_002,MOJIKOKOSHI
coffee_break_parts_similar201212_003,MOJIKOKOSHI
coffee_break_parts_similar201212_004,MOJIKOKOSHI
coffee_break_parts_similar201212_005,MOJIKOKOSHI
coffee_break_parts_similar201212_006,MOJIKOKOSHI
coffee_break_parts_similar201212_007,MOJIKOKOSHI
coffee_break_parts_similar201212_008,MOJIKOKOSHI
coffee_break_parts_similar201212_009,MOJIKOKOSHI
coffee_break_parts_similar201212_010,MOJIKOKOSHI
