MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
coffee_break_parts_similar201008_001,出向で、久しぶりに帰宅したら、３歳の娘の、描く家族の絵から父親の姿が消えていた。,出向で、久しぶりに帰宅したら、３歳の娘の、核家族の家から父親の姿が消えていた。,「描く」と「核家族」は音が似ている,家庭内の会話で、父親の存在に関する話題。速記者が「描く家族の絵」を「核家族の家」と聞き間違えた。音の類似性が原因。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_002,現場における職務分掌や人事・処遇問題において今後さまざまな問題が予想される。,現場における職務文書や人事・処遇問題において今後さまざまな問題が予想される。,専門用語の聞き取りに注意,業務分担に関する議論で「職務分掌」を「職務文書」と誤記。専門用語の聞き取りミス。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_003,我が国の経済の動きについては、緩やかに回復しつつあり、国内民間需要に自律的な回復に向けた動きが引き続き見られる。,我が国の経済の動きについては、緩やかに回復しつつあり、国内民間需要に事実的な回復に向けた動きが引き続き見られる。,「自律的」と「事実的」は音が近い,経済動向の説明で「自律的」を「事実的」と誤記。音の近似による誤認。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_004,国会の運営というのは、議論を尽くし、合意形成を図る、熟議の民主主義するということが必要だと言ってきた。,国会の運営というのは、議論を尽くし、合意形成を図る、十分に認識するということが必要だと言ってきた。,理念や抽象語の聞き取りに注意,国会運営の理念説明で「熟議の民主主義」を「十分に認識」と誤記。語感の近さによる誤り。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_005,市街地の高齢化などを対象としたオール電化住宅攻勢への対処。,市街地の高齢化などを対象としたオール電化住宅構成への対処。,同音異義語の混同に注意,住宅政策の話題で「攻勢」を「構成」と誤記。音が同じで意味が異なる語の混同。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_006,至近年では、０７春闘を転機に従来の個別方式から積み上げ方式へ要求の考え方を見直した。,資金面では、０７春闘を転機に従来の個別方式から積み上げ方式へ要求の考え方を見直した。,年号や時期の表現に注意,労使交渉の時期説明で「至近年」を「資金面」と誤記。音の類似性が原因。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_007,経営の健全化、透明化、企業統治と言われるガバナンスの問題について……。,経営の健全化、透明化、企業投資と言われるガバナンスの問題について……。,専門用語の混同に注意,企業ガバナンスの話題で「統治」を「投資」と誤記。専門用語の混同。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_008,技能労務職の給与に係る問題では、昨年度は退職手当債、発行を認める条件として……,技能労務職の給与に係る問題では、昨年度は退職手当さえ、発行を認める条件として……,漢字と仮名の聞き違いに注意,給与制度の説明で「退職手当債」を「退職手当さえ」と誤記。漢字と仮名の聞き違い。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_009,一部の国や地域におけるリスクの発現が、これまで想像し得なかった速さと範囲と大きさで伝播する……。,一部の国や地域におけるリスクの発言が、これまで想像し得なかった速さと範囲と大きさで伝播する……。,「発現」と「発言」は音が近い,リスク伝播の説明で「発現」を「発言」と誤記。音の近さによる誤り。,True,coffee_break_parts_similar201008,,不明,速記者,ja
coffee_break_parts_similar201008_010,マニュアルの見直しをするという説明があったのですが……。,マニュアルの見直しをするという勧めがあったのですが……。,語尾の聞き違いに注意,マニュアル改訂の話題で「説明」を「勧め」と誤記。語尾の聞き違い。,True,coffee_break_parts_similar201008,,不明,速記者,ja
