MishearID,TagID
aoi_hanayama_20170414_001,SHIGOTO
aoi_hanayama_20170414_001,DENWA_TAIOU
aoi_hanayama_20170414_001,ALPHABET
aoi_hanayama_20170414_001,MISHEARING
aoi_hanayama_20170414_001,PHONETIC_CODE
aoi_hanayama_20170414_001,COMMUNICATION
aoi_hanayama_20170414_001,BIKE_SHOP
aoi_hanayama_20170414_002,SHIGOTO
aoi_hanayama_20170414_002,DENWA_TAIOU
aoi_hanayama_20170414_002,ALPHABET
aoi_hanayama_20170414_002,MISHEARING
aoi_hanayama_20170414_002,PHONETIC_CODE
aoi_hanayama_20170414_002,COMMUNICATION
aoi_hanayama_20170414_002,BIKE_SHOP
aoi_hanayama_20170414_003,SHIGOTO
aoi_hanayama_20170414_003,DENWA_TAIOU
aoi_hanayama_20170414_003,ALPHABET
aoi_hanayama_20170414_003,MISHEARING
aoi_hanayama_20170414_003,PHONETIC_CODE
aoi_hanayama_20170414_003,COMMUNICATION
aoi_hanayama_20170414_003,BIKE_SHOP
aoi_hanayama_20170414_004,SHIGOTO
aoi_hanayama_20170414_004,DENWA_TAIOU
aoi_hanayama_20170414_004,ALPHABET
aoi_hanayama_20170414_004,MISHEARING
aoi_hanayama_20170414_004,PHONETIC_CODE
aoi_hanayama_20170414_004,COMMUNICATION
aoi_hanayama_20170414_004,BIKE_SHOP
aoi_hanayama_20170414_005,SHIGOTO
aoi_hanayama_20170414_005,DENWA_TAIOU
aoi_hanayama_20170414_005,ALPHABET
aoi_hanayama_20170414_005,MISHEARING
aoi_hanayama_20170414_005,PHONETIC_CODE
aoi_hanayama_20170414_005,COMMUNICATION
aoi_hanayama_20170414_005,BIKE_SHOP
