MishearID,TagID
meganehompo_check_001,HEARING
meganehompo_check_001,HEARING_IMPAIRMENT
meganehompo_check_001,MISHEARING
meganehompo_check_001,COMMUNICATION
meganehompo_check_001,HEARING_AID
meganehompo_check_001,JAPANESE_LANGUAGE
meganehompo_check_001,ELDERLY
meganehompo_check_001,MEDICAL
meganehompo_check_002,HEARING
meganehompo_check_002,HEARING_IMPAIRMENT
meganehompo_check_002,MISHEARING
meganehompo_check_002,COMMUNICATION
meganehompo_check_002,HEARING_AID
meganehompo_check_002,JAPANESE_LANGUAGE
meganehompo_check_002,ELDERLY
meganehompo_check_002,MEDICAL
meganehompo_check_003,HEARING
meganehompo_check_003,HEARING_IMPAIRMENT
meganehompo_check_003,MISHEARING
meganehompo_check_003,COMMUNICATION
meganehompo_check_003,HEARING_AID
meganehompo_check_003,JAPANESE_LANGUAGE
meganehompo_check_003,ELDERLY
meganehompo_check_003,MEDICAL
