MishearID,TagID
medicalnikkeibp_530218_001,MEDICAL
medicalnikkeibp_530218_001,PHONE_SUPPORT
medicalnikkeibp_530218_001,MISHEARING
medicalnikkeibp_530218_001,COMMUNICATION
medicalnikkeibp_530218_001,TECHNICAL_TERM
medicalnikkeibp_530218_001,JAPANESE_LANGUAGE
medicalnikkeibp_530218_002,MEDICAL
medicalnikkeibp_530218_002,MISHEARING
medicalnikkeibp_530218_002,HOMOPHONES
medicalnikkeibp_530218_002,MEDICATION_GUIDANCE
medicalnikkeibp_530218_003,MEDICAL
medicalnikkeibp_530218_003,MISHEARING
medicalnikkeibp_530218_003,HOMOPHONES
medicalnikkeibp_530218_003,RECEPTION
medicalnikkeibp_530218_004,MEDICAL
medicalnikkeibp_530218_004,MISHEARING
medicalnikkeibp_530218_004,HOMOPHONES
medicalnikkeibp_530218_004,QUERY
medicalnikkeibp_530218_005,MEDICAL
medicalnikkeibp_530218_005,MISHEARING
medicalnikkeibp_530218_005,HOMOPHONES
medicalnikkeibp_530218_005,MEDICATION_GUIDANCE
medicalnikkeibp_530218_006,MEDICAL
medicalnikkeibp_530218_006,MISHEARING
medicalnikkeibp_530218_006,HOMOPHONES
medicalnikkeibp_530218_006,MEDICATION_GUIDANCE
medicalnikkeibp_530218_007,MEDICAL
medicalnikkeibp_530218_007,MISHEARING
medicalnikkeibp_530218_007,HOMOPHONES
medicalnikkeibp_530218_007,MEDICATION_GUIDANCE
medicalnikkeibp_530218_008,MEDICAL
medicalnikkeibp_530218_008,MISHEARING
medicalnikkeibp_530218_008,HOMOPHONES
medicalnikkeibp_530218_008,MEDICATION_GUIDANCE
medicalnikkeibp_530218_009,MEDICAL
medicalnikkeibp_530218_009,MISHEARING
medicalnikkeibp_530218_009,HOMOPHONES
medicalnikkeibp_530218_009,EXPLANATION
