MishearID,TagID
resoundjp_kikimachigai_001,KIKIMACHIGAI
resoundjp_kikimachigai_001,NANCHO
resoundjp_kikimachigai_001,KAREISEI_NANCHO
resoundjp_kikimachigai_001,HOCHOOKI
resoundjp_kikimachigai_001,NIHONGO
resoundjp_kikimachigai_001,SHION
resoundjp_kikimachigai_001,KOUONIKI
resoundjp_kikimachigai_001,COMMUNICATION
resoundjp_kikimachigai_001,MEDICAL
resoundjp_kikimachigai_002,KIKIMACHIGAI
resoundjp_kikimachigai_002,NANCHO
resoundjp_kikimachigai_002,KAREISEI_NANCHO
resoundjp_kikimachigai_002,HOCHOOKI
resoundjp_kikimachigai_002,NIHONGO
resoundjp_kikimachigai_002,SHION
resoundjp_kikimachigai_002,KOUONIKI
resoundjp_kikimachigai_002,COMMUNICATION
resoundjp_kikimachigai_002,MEDICAL
resoundjp_kikimachigai_003,KIKIMACHIGAI
resoundjp_kikimachigai_003,NANCHO
resoundjp_kikimachigai_003,KAREISEI_NANCHO
resoundjp_kikimachigai_003,HOCHOOKI
resoundjp_kikimachigai_003,NIHONGO
resoundjp_kikimachigai_003,SHION
resoundjp_kikimachigai_003,KOUONIKI
resoundjp_kikimachigai_003,COMMUNICATION
resoundjp_kikimachigai_003,MEDICAL
resoundjp_kikimachigai_004,KIKIMACHIGAI
resoundjp_kikimachigai_004,NANCHO
resoundjp_kikimachigai_004,KAREISEI_NANCHO
resoundjp_kikimachigai_004,HOCHOOKI
resoundjp_kikimachigai_004,NIHONGO
resoundjp_kikimachigai_004,SHION
resoundjp_kikimachigai_004,KOUONIKI
resoundjp_kikimachigai_004,COMMUNICATION
resoundjp_kikimachigai_004,MEDICAL
