MishearID,TagID
sakidori_tel01_001,DENWA_OUTAI
sakidori_tel01_001,BUSINESS
sakidori_tel01_001,MISHEARING
sakidori_tel01_001,NUMBER
sakidori_tel01_001,TRAINING
sakidori_tel01_002,DENWA_OUTAI
sakidori_tel01_002,BUSINESS
sakidori_tel01_002,MISHEARING
sakidori_tel01_002,DATE
sakidori_tel01_002,TRAINING
sakidori_tel01_003,DENWA_OUTAI
sakidori_tel01_003,BUSINESS
sakidori_tel01_003,MISHEARING
sakidori_tel01_003,GEONAME
sakidori_tel01_003,TRAINING
sakidori_tel01_004,DENWA_OUTAI
sakidori_tel01_004,BUSINESS
sakidori_tel01_004,MISHEARING
sakidori_tel01_004,HOMOPHONE
sakidori_tel01_004,TRAINING
sakidori_tel01_005,DENWA_OUTAI
sakidori_tel01_005,BUSINESS
sakidori_tel01_005,MISHEARING
sakidori_tel01_005,HOMOPHONE
sakidori_tel01_005,TRAINING
sakidori_tel01_006,DENWA_OUTAI
sakidori_tel01_006,BUSINESS
sakidori_tel01_006,MISHEARING
sakidori_tel01_006,HOMOPHONE
sakidori_tel01_006,TRAINING
sakidori_tel01_007,DENWA_OUTAI
sakidori_tel01_007,BUSINESS
sakidori_tel01_007,MISHEARING
sakidori_tel01_007,HOMOPHONE
sakidori_tel01_007,TRAINING
sakidori_tel01_008,DENWA_OUTAI
sakidori_tel01_008,BUSINESS
sakidori_tel01_008,MISHEARING
sakidori_tel01_008,HOMOPHONE
sakidori_tel01_008,TRAINING
