MishearID,TagID
girlschannel_1160446_001,MISHEARING
girlschannel_1160446_001,FAMILY
girlschannel_1160446_002,MISHEARING
girlschannel_1160446_002,DAILY_LIFE
girlschannel_1160446_003,MISHEARING
girlschannel_1160446_003,PUBLIC_FACILITY
girlschannel_1160446_004,MISHEARING
girlschannel_1160446_004,FRIEND
girlschannel_1160446_005,MISHEARING
girlschannel_1160446_005,RESTAURANT
girlschannel_1160446_006,MISHEARING
girlschannel_1160446_006,LYRICS
girlschannel_1160446_007,MISHEARING
girlschannel_1160446_008,MISHEARING
girlschannel_1160446_008,WORKPLACE
girlschannel_1160446_009,MISHEARING
girlschannel_1160446_009,RESTAURANT
girlschannel_1160446_009,HUMOR
girlschannel_1160446_010,MISHEARING
girlschannel_1160446_010,DAILY_LIFE
girlschannel_1160446_011,MISHEARING
girlschannel_1160446_011,FAMILY
girlschannel_1160446_011,HUMOR
girlschannel_1160446_012,MISHEARING
girlschannel_1160446_012,MEDICAL
girlschannel_1160446_012,HUMOR
girlschannel_1160446_013,MISHEARING
girlschannel_1160446_013,FAMILY
girlschannel_1160446_013,SHOPPING
girlschannel_1160446_014,MISHEARING
girlschannel_1160446_014,SCHOOL
girlschannel_1160446_014,COMMAND
girlschannel_1160446_014,HUMOR
girlschannel_1160446_015,MISHEARING
girlschannel_1160446_015,TRAVEL
girlschannel_1160446_015,RAILWAY
girlschannel_1160446_016,MISHEARING
girlschannel_1160446_016,LYRICS
girlschannel_1160446_016,ANIME
girlschannel_1160446_017,MISHEARING
girlschannel_1160446_017,GEONAME
girlschannel_1160446_017,PUBLIC_FACILITY
girlschannel_1160446_018,MISHEARING
girlschannel_1160446_018,WORKPLACE
girlschannel_1160446_018,HUMOR
girlschannel_1160446_019,MISHEARING
girlschannel_1160446_019,WORKPLACE
girlschannel_1160446_019,HUMOR
girlschannel_1160446_020,MISHEARING
girlschannel_1160446_020,STORE
girlschannel_1160446_020,MEDICINE
girlschannel_1160446_020,HUMOR
