MishearID,TagID
yamamotosho_n215cd6d90f79_001,MUSIC
yamamotosho_n215cd6d90f79_001,LYRICS
yamamotosho_n215cd6d90f79_001,MISHEARING
yamamotosho_n215cd6d90f79_001,ANIME
yamamotosho_n215cd6d90f79_001,NATIONAL_PHENOMENON
yamamotosho_n215cd6d90f79_002,CHILDREN_SONG
yamamotosho_n215cd6d90f79_002,LYRICS
yamamotosho_n215cd6d90f79_002,MISHEARING
yamamotosho_n215cd6d90f79_002,SCHOOL
yamamotosho_n215cd6d90f79_002,NATIONAL_PHENOMENON
yamamotosho_n215cd6d90f79_003,PROVERB
yamamotosho_n215cd6d90f79_003,MISHEARING
yamamotosho_n215cd6d90f79_003,JAPANESE_LANGUAGE
yamamotosho_n215cd6d90f79_003,DAILY_LIFE
