MishearID,TagID
miraika_kikitorenight_001,KIKIMACHIGAI
miraika_kikitorenight_001,NIHONGO
miraika_kikitorenight_001,EDUCATION
miraika_kikitorenight_002,KIKIMACHIGAI
miraika_kikitorenight_002,NIHONGO
miraika_kikitorenight_002,EDUCATION
miraika_kikitorenight_003,KIKIMACHIGAI
miraika_kikitorenight_003,NIHONGO
miraika_kikitorenight_003,EDUCATION
miraika_kikitorenight_004,KIKIMACHIGAI
miraika_kikitorenight_004,NIHONGO
miraika_kikitorenight_004,EDUCATION
miraika_kikitorenight_005,KIKIMACHIGAI
miraika_kikitorenight_005,NIHONGO
miraika_kikitorenight_005,EDUCATION
miraika_kikitorenight_006,KIKIMACHIGAI
miraika_kikitorenight_006,NIHONGO
miraika_kikitorenight_006,EDUCATION
miraika_kikitorenight_007,KIKIMACHIGAI
miraika_kikitorenight_007,NIHONGO
miraika_kikitorenight_007,JOKE
miraika_kikitorenight_008,KIKIMACHIGAI
miraika_kikitorenight_008,NIHONGO
miraika_kikitorenight_008,JOKE
