MishearID,TagID
lifehackerjp_100913misheard_001,ENGLISH
lifehackerjp_100913misheard_001,MISHEARING
lifehackerjp_100913misheard_001,HOMOPHONE
lifehackerjp_100913misheard_001,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_001,COMMUNICATION
lifehackerjp_100913misheard_001,VOCABULARY
lifehackerjp_100913misheard_001,PRONUNCIATION
lifehackerjp_100913misheard_002,ENGLISH
lifehackerjp_100913misheard_002,MISHEARING
lifehackerjp_100913misheard_002,HOMOPHONE
lifehackerjp_100913misheard_002,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_002,COMMUNICATION
lifehackerjp_100913misheard_002,VOCABULARY
lifehackerjp_100913misheard_002,PRONUNCIATION
lifehackerjp_100913misheard_003,ENGLISH
lifehackerjp_100913misheard_003,MISHEARING
lifehackerjp_100913misheard_003,HOMOPHONE
lifehackerjp_100913misheard_003,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_003,COMMUNICATION
lifehackerjp_100913misheard_003,VOCABULARY
lifehackerjp_100913misheard_003,PRONUNCIATION
lifehackerjp_100913misheard_004,ENGLISH
lifehackerjp_100913misheard_004,MISHEARING
lifehackerjp_100913misheard_004,HOMOPHONE
lifehackerjp_100913misheard_004,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_004,COMMUNICATION
lifehackerjp_100913misheard_004,VOCABULARY
lifehackerjp_100913misheard_004,PRONUNCIATION
lifehackerjp_100913misheard_005,ENGLISH
lifehackerjp_100913misheard_005,MISHEARING
lifehackerjp_100913misheard_005,HOMOPHONE
lifehackerjp_100913misheard_005,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_005,COMMUNICATION
lifehackerjp_100913misheard_005,VOCABULARY
lifehackerjp_100913misheard_005,PRONUNCIATION
lifehackerjp_100913misheard_006,ENGLISH
lifehackerjp_100913misheard_006,MISHEARING
lifehackerjp_100913misheard_006,HOMOPHONE
lifehackerjp_100913misheard_006,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_006,COMMUNICATION
lifehackerjp_100913misheard_006,VOCABULARY
lifehackerjp_100913misheard_006,PRONUNCIATION
lifehackerjp_100913misheard_007,ENGLISH
lifehackerjp_100913misheard_007,MISHEARING
lifehackerjp_100913misheard_007,HOMOPHONE
lifehackerjp_100913misheard_007,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_007,COMMUNICATION
lifehackerjp_100913misheard_007,VOCABULARY
lifehackerjp_100913misheard_007,PRONUNCIATION
lifehackerjp_100913misheard_008,ENGLISH
lifehackerjp_100913misheard_008,MISHEARING
lifehackerjp_100913misheard_008,HOMOPHONE
lifehackerjp_100913misheard_008,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_008,COMMUNICATION
lifehackerjp_100913misheard_008,VOCABULARY
lifehackerjp_100913misheard_008,PRONUNCIATION
lifehackerjp_100913misheard_009,ENGLISH
lifehackerjp_100913misheard_009,MISHEARING
lifehackerjp_100913misheard_009,HOMOPHONE
lifehackerjp_100913misheard_009,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_009,COMMUNICATION
lifehackerjp_100913misheard_009,VOCABULARY
lifehackerjp_100913misheard_009,PRONUNCIATION
lifehackerjp_100913misheard_010,ENGLISH
lifehackerjp_100913misheard_010,MISHEARING
lifehackerjp_100913misheard_010,HOMOPHONE
lifehackerjp_100913misheard_010,NON_NATIVE_SPEAKER
lifehackerjp_100913misheard_010,COMMUNICATION
lifehackerjp_100913misheard_010,VOCABULARY
lifehackerjp_100913misheard_010,PRONUNCIATION
