MishearID,TagID
oscarformen_puzzles_001,JAPANESE
oscarformen_puzzles_001,MISHEARING
oscarformen_puzzles_001,MISHEARING
oscarformen_puzzles_001,DAILY_CONVERSATION
oscarformen_puzzles_002,JAPANESE
oscarformen_puzzles_002,MISHEARING
oscarformen_puzzles_002,MISHEARING
oscarformen_puzzles_002,DAILY_CONVERSATION
oscarformen_puzzles_003,JAPANESE
oscarformen_puzzles_003,MISHEARING
oscarformen_puzzles_003,MISHEARING
oscarformen_puzzles_003,DAILY_CONVERSATION
oscarformen_puzzles_004,JAPANESE
oscarformen_puzzles_004,MISHEARING
oscarformen_puzzles_004,MISHEARING
oscarformen_puzzles_004,CHILDREN
oscarformen_puzzles_005,JAPANESE
oscarformen_puzzles_005,MISHEARING
oscarformen_puzzles_005,MISHEARING
oscarformen_puzzles_005,CHILDREN
oscarformen_puzzles_006,JAPANESE
oscarformen_puzzles_006,MISHEARING
oscarformen_puzzles_006,MISHEARING
oscarformen_puzzles_006,MUSIC
oscarformen_puzzles_007,JAPANESE
oscarformen_puzzles_007,MISHEARING
oscarformen_puzzles_007,MISHEARING
oscarformen_puzzles_007,MUSIC
oscarformen_puzzles_008,JAPANESE
oscarformen_puzzles_008,MISHEARING
oscarformen_puzzles_008,MISHEARING
oscarformen_puzzles_008,MUSIC
oscarformen_puzzles_009,JAPANESE
oscarformen_puzzles_009,MISHEARING
oscarformen_puzzles_009,MISHEARING
oscarformen_puzzles_009,CM
oscarformen_puzzles_010,JAPANESE
oscarformen_puzzles_010,MISHEARING
oscarformen_puzzles_010,MISHEARING
oscarformen_puzzles_010,MUSIC
oscarformen_puzzles_011,JAPANESE
oscarformen_puzzles_011,MISHEARING
oscarformen_puzzles_011,MISHEARING
oscarformen_puzzles_011,MUSIC
oscarformen_puzzles_012,JAPANESE
oscarformen_puzzles_012,MISHEARING
oscarformen_puzzles_012,MISHEARING
oscarformen_puzzles_012,MUSIC
oscarformen_puzzles_013,JAPANESE
oscarformen_puzzles_013,MISHEARING
oscarformen_puzzles_013,MISHEARING
oscarformen_puzzles_013,MUSIC
oscarformen_puzzles_014,JAPANESE
oscarformen_puzzles_014,MISHEARING
oscarformen_puzzles_014,MISHEARING
oscarformen_puzzles_014,MUSIC
oscarformen_puzzles_015,JAPANESE
oscarformen_puzzles_015,MISHEARING
oscarformen_puzzles_015,MISHEARING
oscarformen_puzzles_015,CHILDREN
oscarformen_puzzles_016,JAPANESE
oscarformen_puzzles_016,MISHEARING
oscarformen_puzzles_016,MISHEARING
oscarformen_puzzles_016,CHILDREN
oscarformen_puzzles_017,JAPANESE
oscarformen_puzzles_017,MISHEARING
oscarformen_puzzles_017,MISHEARING
oscarformen_puzzles_017,CHILDREN
oscarformen_puzzles_018,JAPANESE
oscarformen_puzzles_018,MISHEARING
oscarformen_puzzles_018,MISHEARING
oscarformen_puzzles_018,WORKPLACE
oscarformen_puzzles_019,JAPANESE
oscarformen_puzzles_019,MISHEARING
oscarformen_puzzles_019,MISHEARING
oscarformen_puzzles_019,WORKPLACE
oscarformen_puzzles_021,JAPANESE
oscarformen_puzzles_021,MISHEARING
oscarformen_puzzles_021,MISHEARING
oscarformen_puzzles_021,SUPERMARKET
oscarformen_puzzles_022,JAPANESE
oscarformen_puzzles_022,MISHEARING
oscarformen_puzzles_022,MISHEARING
oscarformen_puzzles_022,COUPLE
oscarformen_puzzles_023,JAPANESE
oscarformen_puzzles_023,MISHEARING
oscarformen_puzzles_023,MISHEARING
oscarformen_puzzles_023,IZAKAYA
