MishearID,TagID
syunkon_12835221992_001,MISHEARING
syunkon_12835221992_001,KANCHIGAI
syunkon_12835221992_001,DAILY_LIFE
syunkon_12835221992_002,MISHEARING
syunkon_12835221992_002,KANCHIGAI
syunkon_12835221992_002,GAKKOU
syunkon_12835221992_003,MISHEARING
syunkon_12835221992_003,KANCHIGAI
syunkon_12835221992_003,BAITO
syunkon_12835221992_005,MISHEARING
syunkon_12835221992_005,SORAUMI
syunkon_12835221992_005,KODOMO
syunkon_12835221992_006,MISHEARING
syunkon_12835221992_006,SORAUMI
syunkon_12835221992_006,UTA
syunkon_12835221992_007,MISHEARING
syunkon_12835221992_007,SORAUMI
syunkon_12835221992_007,UTA
syunkon_12835221992_008,MISHEARING
syunkon_12835221992_008,SORAUMI
syunkon_12835221992_008,UTA
syunkon_12835221992_009,MISHEARING
syunkon_12835221992_009,SORAUMI
syunkon_12835221992_009,UTA
syunkon_12835221992_010,MISHEARING
syunkon_12835221992_010,SORAUMI
syunkon_12835221992_010,UTA
syunkon_12835221992_011,MISHEARING
syunkon_12835221992_011,SORAUMI
syunkon_12835221992_012,MISHEARING
syunkon_12835221992_012,SORAUMI
syunkon_12835221992_013,MISHEARING
syunkon_12835221992_013,SORAUMI
