MishearID,TagID
AcrugLVnrLE_001,TOKYO
AcrugLVnrLE_001,GEONAME
AcrugLVnrLE_001,TAXI
AcrugLVnrLE_001,MISHEARING
AcrugLVnrLE_001,TRANSPORTATION
AcrugLVnrLE_002,TOKYO
AcrugLVnrLE_002,GEONAME
AcrugLVnrLE_002,TAXI
AcrugLVnrLE_002,MISHEARING
AcrugLVnrLE_002,TRANSPORTATION
AcrugLVnrLE_003,TOKYO
AcrugLVnrLE_003,GEONAME
AcrugLVnrLE_003,TAXI
AcrugLVnrLE_003,MISHEARING
AcrugLVnrLE_003,TRANSPORTATION
AcrugLVnrLE_004,TOKYO
AcrugLVnrLE_004,GEONAME
AcrugLVnrLE_004,TAXI
AcrugLVnrLE_004,MISHEARING
AcrugLVnrLE_004,TRANSPORTATION
AcrugLVnrLE_005,TOKYO
AcrugLVnrLE_005,CHIBA
AcrugLVnrLE_005,GEONAME
AcrugLVnrLE_005,TAXI
AcrugLVnrLE_005,MISHEARING
AcrugLVnrLE_005,TRANSPORTATION
AcrugLVnrLE_006,TOKYO
AcrugLVnrLE_006,GEONAME
AcrugLVnrLE_006,TAXI
AcrugLVnrLE_006,MISHEARING
AcrugLVnrLE_006,TRANSPORTATION
AcrugLVnrLE_007,SAITAMA
AcrugLVnrLE_007,TOKYO
AcrugLVnrLE_007,GEONAME
AcrugLVnrLE_007,TAXI
AcrugLVnrLE_007,MISHEARING
AcrugLVnrLE_007,TRANSPORTATION
AcrugLVnrLE_010,TOKYO
AcrugLVnrLE_010,GEONAME
AcrugLVnrLE_010,TAXI
AcrugLVnrLE_010,MISHEARING
AcrugLVnrLE_010,TRANSPORTATION
AcrugLVnrLE_011,TOKYO
AcrugLVnrLE_011,GEONAME
AcrugLVnrLE_011,TAXI
AcrugLVnrLE_011,MISHEARING
AcrugLVnrLE_011,TRANSPORTATION
AcrugLVnrLE_012,SAITAMA
AcrugLVnrLE_012,CHIBA
AcrugLVnrLE_012,GEONAME
AcrugLVnrLE_012,TAXI
AcrugLVnrLE_012,MISHEARING
AcrugLVnrLE_012,TRANSPORTATION
AcrugLVnrLE_013,TOKYO
AcrugLVnrLE_013,GEONAME
AcrugLVnrLE_013,TAXI
AcrugLVnrLE_013,MISHEARING
AcrugLVnrLE_013,TRANSPORTATION
AcrugLVnrLE_014,TOKYO
AcrugLVnrLE_014,FACILITY
AcrugLVnrLE_014,GEONAME
AcrugLVnrLE_014,TAXI
AcrugLVnrLE_014,MISHEARING
AcrugLVnrLE_014,TRANSPORTATION
AcrugLVnrLE_015,KANAGAWA
AcrugLVnrLE_015,YOKOHAMA
AcrugLVnrLE_015,GEONAME
AcrugLVnrLE_015,TAXI
AcrugLVnrLE_015,MISHEARING
AcrugLVnrLE_015,TRANSPORTATION
AcrugLVnrLE_016,CHIBA
AcrugLVnrLE_016,TOKYO
AcrugLVnrLE_016,GEONAME
AcrugLVnrLE_016,TAXI
AcrugLVnrLE_016,MISHEARING
AcrugLVnrLE_016,TRANSPORTATION
AcrugLVnrLE_017,TOKYO
AcrugLVnrLE_017,KANAGAWA
AcrugLVnrLE_017,GEONAME
AcrugLVnrLE_017,TAXI
AcrugLVnrLE_017,MISHEARING
AcrugLVnrLE_017,TRANSPORTATION
AcrugLVnrLE_020,TOKYO
AcrugLVnrLE_020,GEONAME
AcrugLVnrLE_020,TAXI
AcrugLVnrLE_020,MISHEARING
AcrugLVnrLE_020,TRANSPORTATION
AcrugLVnrLE_021,TOKYO
AcrugLVnrLE_021,KANAGAWA
AcrugLVnrLE_021,GEONAME
AcrugLVnrLE_021,TAXI
AcrugLVnrLE_021,MISHEARING
AcrugLVnrLE_021,TRANSPORTATION
AcrugLVnrLE_022,SAITAMA
AcrugLVnrLE_022,KANAGAWA
AcrugLVnrLE_022,GEONAME
AcrugLVnrLE_022,TAXI
AcrugLVnrLE_022,MISHEARING
AcrugLVnrLE_022,TRANSPORTATION
AcrugLVnrLE_023,TOKYO
AcrugLVnrLE_023,GEONAME
AcrugLVnrLE_023,TAXI
AcrugLVnrLE_023,MISHEARING
AcrugLVnrLE_023,TRANSPORTATION
AcrugLVnrLE_024,TOKYO
AcrugLVnrLE_024,GEONAME
AcrugLVnrLE_024,TAXI
AcrugLVnrLE_024,MISHEARING
AcrugLVnrLE_024,TRANSPORTATION
AcrugLVnrLE_025,TOKYO
AcrugLVnrLE_025,TAMA
AcrugLVnrLE_025,GEONAME
AcrugLVnrLE_025,TAXI
AcrugLVnrLE_025,MISHEARING
AcrugLVnrLE_025,TRANSPORTATION
