MishearID,TagID
girlschannel_3698171_001,MISHEARING
girlschannel_3698171_001,FAMILY
girlschannel_3698171_001,DAILY_LIFE
girlschannel_3698171_002,MISHEARING
girlschannel_3698171_002,FAMILY
girlschannel_3698171_003,MISHEARING
girlschannel_3698171_003,TAXI
girlschannel_3698171_003,GEONAME
girlschannel_3698171_004,MISHEARING
girlschannel_3698171_004,WORKPLACE
girlschannel_3698171_005,MISHEARING
girlschannel_3698171_005,MEDICAL
girlschannel_3698171_005,TELEVISION
girlschannel_3698171_008,MISHEARING
girlschannel_3698171_008,SCHOOL
girlschannel_3698171_009,MISHEARING
girlschannel_3698171_009,MUSIC
girlschannel_3698171_010,MISHEARING
girlschannel_3698171_010,FAMILY
girlschannel_3698171_011,MISHEARING
girlschannel_3698171_011,MEDICAL
girlschannel_3698171_012,MISHEARING
girlschannel_3698171_012,FRIEND
girlschannel_3698171_013,MISHEARING
girlschannel_3698171_013,WORKPLACE
girlschannel_3698171_014,MISHEARING
girlschannel_3698171_014,TELEVISION
girlschannel_3698171_015,MISHEARING
girlschannel_3698171_015,WORKPLACE
girlschannel_3698171_016,MISHEARING
girlschannel_3698171_016,WORKPLACE
girlschannel_3698171_017,MISHEARING
girlschannel_3698171_017,MUSIC
girlschannel_3698171_018,MISHEARING
girlschannel_3698171_018,ENGLISH
girlschannel_3698171_018,NON_NATIVE_SPEAKER
girlschannel_3698171_019,MISHEARING
girlschannel_3698171_019,WORKPLACE
girlschannel_3698171_020,MISHEARING
girlschannel_3698171_020,SUPERMARKET
girlschannel_3698171_021,MISHEARING
girlschannel_3698171_021,SCHOOL
girlschannel_3698171_022,MISHEARING
girlschannel_3698171_022,CM
