MishearID,TagID
sakamotojidousha_7952_001,GEONAME
sakamotojidousha_7952_001,TOKYO_23_WARDS
sakamotojidousha_7952_001,TAXI
sakamotojidousha_7952_001,MISHEARING
sakamotojidousha_7952_001,TRANSPORTATION
sakamotojidousha_7952_002,GEONAME
sakamotojidousha_7952_002,TOKYO_23_WARDS
sakamotojidousha_7952_002,TAXI
sakamotojidousha_7952_002,MISHEARING
sakamotojidousha_7952_002,TRANSPORTATION
sakamotojidousha_7952_003,GEONAME
sakamotojidousha_7952_003,TOKYO_23_WARDS
sakamotojidousha_7952_003,TAXI
sakamotojidousha_7952_003,MISHEARING
sakamotojidousha_7952_003,TRANSPORTATION
sakamotojidousha_7952_004,GEONAME
sakamotojidousha_7952_004,TOKYO_23_WARDS
sakamotojidousha_7952_004,TAXI
sakamotojidousha_7952_004,MISHEARING
sakamotojidousha_7952_004,TRANSPORTATION
sakamotojidousha_7952_005,GEONAME
sakamotojidousha_7952_005,TOKYO_23_WARDS
sakamotojidousha_7952_005,TAXI
sakamotojidousha_7952_005,MISHEARING
sakamotojidousha_7952_005,TRANSPORTATION
sakamotojidousha_7952_006,GEONAME
sakamotojidousha_7952_006,TOKYO_23_WARDS
sakamotojidousha_7952_006,TAXI
sakamotojidousha_7952_006,MISHEARING
sakamotojidousha_7952_006,TRANSPORTATION
sakamotojidousha_7952_007,GEONAME
sakamotojidousha_7952_007,TOKYO_23_WARDS
sakamotojidousha_7952_007,TAXI
sakamotojidousha_7952_007,MISHEARING
sakamotojidousha_7952_007,TRANSPORTATION
sakamotojidousha_7952_008,GEONAME
sakamotojidousha_7952_008,TOKYO_23_WARDS
sakamotojidousha_7952_008,TAXI
sakamotojidousha_7952_008,MISHEARING
sakamotojidousha_7952_008,TRANSPORTATION
sakamotojidousha_7952_009,GEONAME
sakamotojidousha_7952_009,TOKYO_23_WARDS
sakamotojidousha_7952_009,TAXI
sakamotojidousha_7952_009,MISHEARING
sakamotojidousha_7952_009,TRANSPORTATION
sakamotojidousha_7952_010,GEONAME
sakamotojidousha_7952_010,TOKYO_23_WARDS
sakamotojidousha_7952_010,TAXI
sakamotojidousha_7952_010,MISHEARING
sakamotojidousha_7952_010,TRANSPORTATION
sakamotojidousha_7952_011,GEONAME
sakamotojidousha_7952_011,TOKYO_23_WARDS
sakamotojidousha_7952_011,TAXI
sakamotojidousha_7952_011,MISHEARING
