MishearID,TagID
sponichi_20250429s00041000358000c_001,ENTERTAINMENT
sponichi_20250429s00041000358000c_001,VARIETY_SHOW
sponichi_20250429s00041000358000c_001,MISHEARING
sponichi_20250429s00041000358000c_001,COMMUNICATION
sponichi_20250429s00041000358000c_002,ENTERTAINMENT
sponichi_20250429s00041000358000c_002,VARIETY_SHOW
sponichi_20250429s00041000358000c_002,MISHEARING
sponichi_20250429s00041000358000c_002,COMMUNICATION
sponichi_20250429s00041000358000c_003,ENTERTAINMENT
sponichi_20250429s00041000358000c_003,VARIETY_SHOW
sponichi_20250429s00041000358000c_003,MISHEARING
sponichi_20250429s00041000358000c_003,COMMUNICATION
sponichi_20250429s00041000358000c_004,ENTERTAINMENT
sponichi_20250429s00041000358000c_004,VARIETY_SHOW
sponichi_20250429s00041000358000c_004,MISHEARING
sponichi_20250429s00041000358000c_004,COMMUNICATION
