MishearID,TagID
tiktok_taxi_china_001,TAXI
tiktok_taxi_china_001,HAULING
tiktok_taxi_china_001,MISHEARING
tiktok_taxi_china_001,CHINA
tiktok_taxi_china_001,CHINESE_LANGUAGE
tiktok_taxi_china_001,GEONAME
tiktok_taxi_china_001,NON_NATIVE_SPEAKER
tiktok_taxi_china_001,TIKTOK
tiktok_taxi_china_002,TAXI
tiktok_taxi_china_002,HAULING
tiktok_taxi_china_002,MISHEARING
tiktok_taxi_china_002,CHINA
tiktok_taxi_china_002,CHINESE_LANGUAGE
tiktok_taxi_china_002,GEONAME
tiktok_taxi_china_002,NON_NATIVE_SPEAKER
tiktok_taxi_china_002,TIKTOK
tiktok_taxi_china_003,TAXI
tiktok_taxi_china_003,HAULING
tiktok_taxi_china_003,MISHEARING
tiktok_taxi_china_003,CHINA
tiktok_taxi_china_003,CHINESE_LANGUAGE
tiktok_taxi_china_003,GEONAME
tiktok_taxi_china_003,NON_NATIVE_SPEAKER
tiktok_taxi_china_003,TIKTOK
