MishearID,TagID
togetter_1209435_001,KIKIMACHIGAI
togetter_1209435_001,GAKUBUMEI
togetter_1209435_001,TWITTER
togetter_1209435_001,ARUARU
togetter_1209435_002,KIKIMACHIGAI
togetter_1209435_002,GAKUBUMEI
togetter_1209435_002,TWITTER
togetter_1209435_002,ARUARU
togetter_1209435_003,KIKIMACHIGAI
togetter_1209435_003,GAKUBUMEI
togetter_1209435_003,TWITTER
togetter_1209435_003,ARUARU
togetter_1209435_004,KIKIMACHIGAI
togetter_1209435_004,BUKATSUDOU
togetter_1209435_004,TWITTER
togetter_1209435_004,ARUARU
togetter_1209435_005,KIKIMACHIGAI
togetter_1209435_005,SHOKUGYOUMEI
togetter_1209435_005,TWITTER
togetter_1209435_005,ARUARU
togetter_1209435_006,KIKIMACHIGAI
togetter_1209435_006,GAKKAMEI
togetter_1209435_006,TWITTER
togetter_1209435_006,ARUARU
togetter_1209435_007,KIKIMACHIGAI
togetter_1209435_007,SHOKUGYOUMEI
togetter_1209435_007,TWITTER
togetter_1209435_007,ARUARU
