MishearID,TagID
A215C215E6370BE28,MEDICAL
A3A19D863B70C304F,MEDICAL
A594B64FC6D49F945,MEDICAL
A70EFE685048D1274,MEDICAL
A8BCEBDC7562F792E,MEDICAL
A8CA4189851874303,MEDICAL
A8E7ED2C5F1DD6C64,MEDICAL
A92CAA92595CFEA0F,MEDICAL
AA00B2C03C66067AD,MEDICAL
AAC2FA3F396C1C45C,MEDICAL
AB81DCB019EF78EBB,MEDICAL
AC54EF98B1189CA09,MEDICAL
AD87985C41829E3CC,MEDICAL
ADA7460CC0CD19F71,MEDICAL
AE8CED0BDD6039273,MEDICAL
AEBBA852F7AB99904,MEDICAL
H0322FBB58A5268B0,MEDICAL
H06BA1056BCCF90E9,MEDICAL
H165DF37F27BCD0CC,MEDICAL
H206B9C808BCCCBF5,MEDICAL
H29F69757CA274D06,MEDICAL
H2BB6C1F38D96DDF7,MEDICAL
H403426EACB339109,MEDICAL
H45D0362913CE1281,MEDICAL
H4AB042F0411B8571,MEDICAL
H4E52C44C7581B6C5E7,MEDICAL
H5A2FB94326C62C67,MEDICAL
H6E3F490D977F6CC1,MEDICAL
H74BED6E4673EEBF8,MEDICAL
H7C259EB1521EC085,MEDICAL
H87539037AD9636E0,MEDICAL
H8D05FF54D5F3BEF1,MEDICAL
H8DE79DE9CB4B5FC8,MEDICAL
H97CDF35E61389A42,MEDICAL
H9C7E7008EE18BDB5,MEDICAL
HA12B023D01BCDE760,MEDICAL
HAB1891E5534DE4CEF,MEDICAL
HD6F67C817825D094,MEDICAL
HD908EF85EA9A18B6,MEDICAL
HDAC01CC61E564CE2,MEDICAL
HE2D918C1E410180D,MEDICAL
HE60CF647DD2910F1,MEDICAL
