MishearID,TagID
taxi_media_20250516_001,GEONAME
taxi_media_20250516_002,GEONAME
taxi_media_20250516_003,GEONAME
taxi_media_20250516_004,GEONAME
taxi_media_20250516_005,GEONAME
taxi_media_20250516_006,GEONAME
taxi_media_20250516_007,GEONAME
taxi_media_20250516_008,GEONAME
taxi_media_20250516_009,GEONAME
taxi_media_20250516_010,GEONAME
taxi_media_20250516_011,GEONAME
taxi_media_20250516_012,GEONAME
taxi_media_20250516_013,GEONAME
taxi_media_20250516_014,GEONAME
taxi_media_20250516_015,GEONAME
taxi_media_20250516_016,GEONAME
taxi_media_20250516_017,GEONAME
taxi_media_20250516_018,GEONAME
taxi_media_20250516_019,GEONAME
taxi_media_20250516_020,GEONAME
taxi_media_20250516_021,GEONAME
taxi_media_20250516_022,GEONAME
