MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
anond_20110126202113_001,貝割れ大根,貝割れに大根,エロに聞き間違えやすい語感に注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_002,ロータリークラブ,ロリータクラブ,語頭・語尾の音の変化に注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_003,ノープラン、ノーブランド,ソープランド,連続した音の省略・合成に注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_004,手抜き,手でヌくこと,同音異義語・語呂合わせに注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_005,顔出し,顔に出すこと,語の分割・再解釈に注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_006,し損じる,子孫汁,音の連結・語呂合わせに注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_007,やさしさ,やらしさ,母音の違いに注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_008,あちらを立てればこちらが立たぬ,アレを立てればコチコチに立たぬ,慣用句の一部をエロ語に置換しやすい,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_009,アハ体験,アヘ体験,母音の違い・語感の近さに注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
anond_20110126202113_010,願掛け,顔かけ,音の近似・語呂合わせに注意,ネット上の言葉遊び,True,anond_20110126202113,https://anond.hatelabo.jp/20110126202113,日本語,"['聞き間違い', '言葉遊び', '成人向け']","['日常会話', 'ネット掲示板']"
