TagID,Lang,Label
YAKYUU,ja,
YAKYUU,en,
STUDENT,ja,
STUDENT,en,
OUTDOOR,ja,
OUTDOOR,en,
BATHING,ja,
BATHING,en,
EKIDEN,ja,
EKIDEN,en,
SHOKUBAJO,ja,
SHOKUBAJO,en,
BUSINESS_CONVERSATION,ja,
BUSINESS_CONVERSATION,en,
GAICHU,ja,
GAICHU,en,
SHOKUDOU,ja,
SHOKUDOU,en,
EIGA,ja,
EIGA,en,
KIKIMANIGAI,ja,
KIKIMANIGAI,en,
FAMOUS_PERSON,ja,
FAMOUS_PERSON,en,
GAIKOKUGO_TITLE,ja,
GAIKOKUGO_TITLE,en,
SENKYO,ja,
SENKYO,en,
HIGH_SCHOOL_STUDENT,ja,
HIGH_SCHOOL_STUDENT,en,
AUDIO,ja,
AUDIO,en,
SHIMETA,ja,
SHIMETA,en,
TRAFFIC_INFORMATION,ja,
TRAFFIC_INFORMATION,en,
HIMOBOGOSHA,ja,
HIMOBOGOSHA,en,
FUKU,ja,
FUKU,en,
KAIGI,ja,
KAIGI,en,
NICHOH_KAIWA,ja,
NICHOH_KAIWA,en,
FASHION,ja,
FASHION,en,
SHUKUDAI,ja,
SHUKUDAI,en,
CAR_INTERIOR,ja,
CAR_INTERIOR,en,
EIGAKAN,ja,
EIGAKAN,en,
BASU,ja,
BASU,en,
KANYU,ja,
KANYU,en,
DOON_IIGIGO,ja,
DOON_IIGIGO,en,
HOUGEN,ja,
HOUGEN,en,
RYOKAN,ja,
RYOKAN,en,
EXHIBITION,ja,
EXHIBITION,en,
KURUMA,ja,
KURUMA,en,
INRYOU,ja,
INRYOU,en,
JIDAIGEKI,ja,
JIDAIGEKI,en,
EIKAIWA,ja,
EIKAIWA,en,
KOTOBA_ASOBI,ja,
KOTOBA_ASOBI,en,
REPORT,ja,
REPORT,en,
SHOKUBAJOU,ja,
SHOKUBAJOU,en,
COMEDIAN,ja,
COMEDIAN,en,
DETO,ja,
DETO,en,
ELEVATOR,ja,
ELEVATOR,en,
NENSHI,ja,
NENSHI,en,
EDUCATION_SITE,ja,
EDUCATION_SITE,en,
PROPOSE,ja,
PROPOSE,en,
NICHJO,ja,
NICHJO,en,
SHIMONETA,ja,
SHIMONETA,en,
KANSAIBEN,ja,
KANSAIBEN,en,
DAIETTO,ja,
DAIETTO,en,
HOKEN,ja,
HOKEN,en,
WORKSITE,ja,
WORKSITE,en,
SUPA-,ja,
SUPA-,en,
HOUSEWIFE,ja,
HOUSEWIFE,en,
ONGAKU,ja,
ONGAKU,en,
LIFE,ja,
LIFE,en,
TETSURO,ja,
TETSURO,en,
MICHIANNAI,ja,
MICHIANNAI,en,
SURYOU_HYOUJUN,ja,
SURYOU_HYOUJUN,en,
TENRAN_KAI,ja,
TENRAN_KAI,en,
BODY_PART,ja,
BODY_PART,en,
SHOGAKUSEI,ja,
SHOGAKUSEI,en,
YU-MOA,ja,
YU-MOA,en,
ASTRONOMY,ja,
ASTRONOMY,en,
GAKKO,ja,
GAKKO,en,
DOBUTSU,ja,
DOBUTSU,en,
SEIBUTSU,ja,
SEIBUTSU,en,
IIMANEGAI,ja,
IIMANEGAI,en,
BENKYO,ja,
BENKYO,en,
WAGASHI,ja,
WAGASHI,en,
WORLD_HERITAGE,ja,
WORLD_HERITAGE,en,
ZODIAC,ja,
ZODIAC,en,
NYUSU,ja,
NYUSU,en,
DEPARTMENT_STORE,ja,
DEPARTMENT_STORE,en,
SHOHINMEI,ja,
SHOHINMEI,en,
TSUKKIN,ja,
TSUKKIN,en,
EKIMEI,ja,
EKIMEI,en,
KAPPURU,ja,
KAPPURU,en,
BYOKI,ja,
BYOKI,en,
TAISO,ja,
TAISO,en,
TSUKIN,ja,
TSUKIN,en,
HONYA,ja,
HONYA,en,
PARKING_LOT,ja,
PARKING_LOT,en,
DENSHA,ja,
DENSHA,en,
KOUTSUU,ja,
KOUTSUU,en,
INTERCULTURAL_COMMUNICATION,ja,
INTERCULTURAL_COMMUNICATION,en,
YAKYU,ja,
YAKYU,en,
MAIL_ORDER,ja,
MAIL_ORDER,en,
KANTUGAI,ja,
KANTUGAI,en,
HIMOGO_SPEAKER,ja,
HIMOGO_SPEAKER,en,
KIKIMANEGAI,ja,
KIKIMANEGAI,en,
STATION_TRANSPORT,ja,
STATION_TRANSPORT,en,
IIMACHI,ja,
IIMACHI,en,
SIBLINGS,ja,
SIBLINGS,en,
BIYOUSHITSU,ja,
BIYOUSHITSU,en,
KAMIDANA,ja,
KAMIDANA,en,
SAKKAA,ja,
SAKKAA,en,
COMPANY,ja,
COMPANY,en,
ZASSHI,ja,
ZASSHI,en,
TITLE,ja,
TITLE,en,
JYUTAKU,ja,
JYUTAKU,en,
SEIKATSU,ja,
SEIKATSU,en,
TEACHER,ja,
TEACHER,en,
BOOKSTORE,ja,
BOOKSTORE,en,
PET_SHOP,ja,
PET_SHOP,en,
QUIZ,ja,
QUIZ,en,
DESAIN,ja,
DESAIN,en,
TENJIKAI,ja,
TENJIKAI,en,
KATAKANAGO,ja,
KATAKANAGO,en,
DAIGAKU,ja,
DAIGAKU,en,
KASHI,ja,
KASHI,en,
KIKIMANAE,ja,
KIKIMANAE,en,
GEINOU,ja,
GEINOU,en,
SYOKUTAKU,ja,
SYOKUTAKU,en,
R_SHITEI,ja,
R_SHITEI,en,
SHUKATSU,ja,
SHUKATSU,en,
KOUKYOUNOBA,ja,
KOUKYOUNOBA,en,
EKI,ja,
EKI,en,
IIMANIGAI,ja,
IIMANIGAI,en,
TENKI,ja,
TENKI,en,
KAKIKOMACHI,ja,
KAKIKOMACHI,en,
IIMACHIGAI,ja,
IIMACHIGAI,en,
BIYOIN,ja,
BIYOIN,en,
SYOKUJI,ja,
SYOKUJI,en,
BAND_NAME,ja,
BAND_NAME,en,
CHUMON,ja,
CHUMON,en,
CLASSROOM,ja,
CLASSROOM,en,
SENMON_YOGO,ja,
SENMON_YOGO,en,
IIMATUGAI,ja,
IIMATUGAI,en,
PROGRAM_NAME,ja,
PROGRAM_NAME,en,
GEONAME_PERSONNAME,ja,
GEONAME_PERSONNAME,en,
VALENTINE,ja,
VALENTINE,en,
PERSONAL_COMPUTER,ja,
PERSONAL_COMPUTER,en,
KIKIMAECHIGAI,ja,
KIKIMAECHIGAI,en,
IGAKU_YOUGO,ja,
IGAKU_YOUGO,en,
OYAKO,ja,
OYAKO,en,
ART,ja,
ART,en,
HITORIGOTO,ja,
HITORIGOTO,en,
YAOYA,ja,
YAOYA,en,
HANKAGAI,ja,
HANKAGAI,en,
ANNAUNSU,ja,
ANNAUNSU,en,
ADJECTIVE,ja,
ADJECTIVE,en,
DRUGSTORE,ja,
DRUGSTORE,en,
SHOSEKI,ja,
SHOSEKI,en,
PROGRAM_INTRODUCTION,ja,
PROGRAM_INTRODUCTION,en,
RESUTORAN,ja,
RESUTORAN,en,
BUKATSU,ja,
BUKATSU,en,
SOUND_SIMILARITY,ja,
SOUND_SIMILARITY,en,
CHUGAKUSEI,ja,
CHUGAKUSEI,en,
JAM,ja,
JAM,en,
COMMERCIAL,ja,
COMMERCIAL,en,
MEDIA,ja,
MEDIA,en,
VIDEO_TEN,ja,
VIDEO_TEN,en,
TOMODACHI,ja,
TOMODACHI,en,
HIMOGO_SHAKUSHA,ja,
HIMOGO_SHAKUSHA,en,
IIIMACHIGAI,ja,
IIIMACHIGAI,en,
UKETSUKE,ja,
UKETSUKE,en,
RENAI,ja,
RENAI,en,
KOTSU,ja,
KOTSU,en,
KOUKYOU_ANNOUNCE,ja,
KOUKYOU_ANNOUNCE,en,
IIMAECHIGAI,ja,
IIMAECHIGAI,en,
NANGO,ja,
NANGO,en,
DOKUSHO,ja,
DOKUSHO,en,
SHOKUTAKU,ja,
SHOKUTAKU,en,
HAPPYOKAI,ja,
HAPPYOKAI,en,
FOOD_BEVERAGE,ja,
FOOD_BEVERAGE,en,
KANJI,ja,
KANJI,en,
YOJI,ja,
YOJI,en,
TSUUKIN,ja,
TSUUKIN,en,
MARRIED_COUPLE,ja,
MARRIED_COUPLE,en,
GAKUSEI,ja,
GAKUSEI,en,
TOOL,ja,
TOOL,en,
ASA,ja,
ASA,en,
INDUSTRY_JARGON,ja,
INDUSTRY_JARGON,en,
DENCHI,ja,
DENCHI,en,
ZATSUDAN,ja,
ZATSUDAN,en,
ANOUNSU,ja,
ANOUNSU,en,
PHILOSOPHY,ja,
PHILOSOPHY,en,
ENGETSUBU,ja,
ENGETSUBU,en,
HOMONYM,ja,
HOMONYM,en,
CLERK,ja,
CLERK,en,
AKACHAN,ja,
AKACHAN,en,
KOUKYOUTSUUKOU,ja,
KOUKYOUTSUUKOU,en,
INSHOKU,ja,
INSHOKU,en,
KOKKAI,ja,
KOKKAI,en,
SUGAKU,ja,
SUGAKU,en,
YUUJIN,ja,
YUUJIN,en,
KOIBITO,ja,
KOIBITO,en,
GINKO,ja,
GINKO,en,
KOKYO_KOTSU,ja,
KOKYO_KOTSU,en,
ANNOUNCE,ja,
ANNOUNCE,en,
LIVE,ja,
LIVE,en,
KONBINI,ja,
KONBINI,en,
HIMOYO_WASESHA,ja,
HIMOYO_WASESHA,en,
BUS_STOP,ja,
BUS_STOP,en,
DOUWA,ja,
DOUWA,en,
GOLF,ja,
GOLF,en,
GENDAIGO,ja,
GENDAIGO,en,
DOUON_IIGI_GO,ja,
DOUON_IIGI_GO,en,
ONSEI,ja,
ONSEI,en,
KAZOKU_YUJIN,ja,
KAZOKU_YUJIN,en,
JYUSHO,ja,
JYUSHO,en,
DAILY,ja,
DAILY,en,
KITCHEN,ja,
KITCHEN,en,
HIMOGO_WASHA,ja,
HIMOGO_WASHA,en,
LAW,ja,
LAW,en,
KIMETSU_NO_YAIBA,ja,
KIMETSU_NO_YAIBA,en,
HOME_APPLIANCE,ja,
HOME_APPLIANCE,en,
HIMOGOHAWASHA,ja,
HIMOGOHAWASHA,en,
AGRICULTURE,ja,
AGRICULTURE,en,
HISTORICAL_PROGRAM,ja,
HISTORICAL_PROGRAM,en,
RAJIO,ja,
RAJIO,en,
IWATE_BEN,ja,
IWATE_BEN,en,
READING_MISTAKE,ja,
READING_MISTAKE,en,
OTONA,ja,
OTONA,en,
SHOKUJI,ja,
SHOKUJI,en,
TENPO,ja,
TENPO,en,
NENMATSU_NENSHI,ja,
NENMATSU_NENSHI,en,
SHOKUBUTSU,ja,
SHOKUBUTSU,en,
SHUNOU,ja,
SHUNOU,en,
SHOUHIN,ja,
SHOUHIN,en,
KAZOKU,ja,
KAZOKU,en,
WEDDING,ja,
WEDDING,en,
ECHO,ja,
ECHO,en,
PARK,ja,
PARK,en,
DRAWING,ja,
DRAWING,en,
STARBUCKS,ja,
STARBUCKS,en,
UNCLEAR_PRONUNCIATION,ja,
UNCLEAR_PRONUNCIATION,en,
SAKEBIGOE,ja,
SAKEBIGOE,en,
JUGYOU,ja,
JUGYOU,en,
SUIZOKUKAN,ja,
SUIZOKUKAN,en,
BIJUTSU,ja,
BIJUTSU,en,
RYAKUSHOU,ja,
RYAKUSHOU,en,
NICHO- KAIWA,ja,
NICHO- KAIWA,en,
GEINO,ja,
GEINO,en,
YUJIN,ja,
YUJIN,en,
TENKIPYOHO,ja,
TENKIPYOHO,en,
KOYUU_MEISHI,ja,
KOYUU_MEISHI,en,
MISPRONUNCIATION,ja,
MISPRONUNCIATION,en,
SACCA,ja,
SACCA,en,
KARAOKE,ja,
KARAOKE,en,
BEAUTY,ja,
BEAUTY,en,
HIMOBOGO_WASEISHA,ja,
HIMOBOGO_WASEISHA,en,
FORMAL,ja,
FORMAL,en,
LOVER,ja,
LOVER,en,
SHINBUN,ja,
SHINBUN,en,
RYOURI,ja,
RYOURI,en,
LAW_FIRM,ja,
LAW_FIRM,en,
FURO,ja,
FURO,en,
GARAIGO,ja,
GARAIGO,en,
IIMATSUGAI,ja,
IIMATSUGAI,en,
KARADA,ja,
KARADA,en,
AWARD_CEREMONY,ja,
AWARD_CEREMONY,en,
AISATSU,ja,
AISATSU,en,
SHOKUHIN,ja,
SHOKUHIN,en,
KONSATO,ja,
KONSATO,en,
NYUUSU,ja,
NYUUSU,en,
NOIZU,ja,
NOIZU,en,
TETSUDOU,ja,
TETSUDOU,en,
GYMNASIUM,ja,
GYMNASIUM,en,
R_RESTRICTED,ja,
R_RESTRICTED,en,
OKUGAI,ja,
OKUGAI,en,
ENKAI,ja,
ENKAI,en,
SUPPORT_CENTER,ja,
SUPPORT_CENTER,en,
IIMANAE,ja,
IIMANAE,en,
IT_YOGO,ja,
IT_YOGO,en,
KYOSHITSU,ja,
KYOSHITSU,en,
YOUTIEN,ja,
YOUTIEN,en,
TENRANKAI,ja,
TENRANKAI,en,
CONCERT,ja,
CONCERT,en,
TOUKOU,ja,
TOUKOU,en,
CELEBRITY_NAME,ja,
CELEBRITY_NAME,en,
KOKUYUMEISHI,ja,
KOKUYUMEISHI,en,
DRIVING_LICENSE_CENTER,ja,
DRIVING_LICENSE_CENTER,en,
CRAM_SCHOOL,ja,
CRAM_SCHOOL,en,
CALL_NAME,ja,
CALL_NAME,en,
NEBOKE,ja,
NEBOKE,en,
HANA,ja,
HANA,en,
SHIKITEN,ja,
SHIKITEN,en,
ONIGIRI,ja,
ONIGIRI,en,
YUUMEIJIN,ja,
YUUMEIJIN,en,
CHOREI,ja,
CHOREI,en,
BOOK,ja,
BOOK,en,
NICHIJO_KAIWA,ja,
NICHIJO_KAIWA,en,
TELEVISION_PROGRAM,ja,
TELEVISION_PROGRAM,en,
AMOUNT_OF_MONEY,ja,
AMOUNT_OF_MONEY,en,
NICHIJO,ja,
NICHIJO,en,
KOUKYOU,ja,
KOUKYOU,en,
SHIMAI,ja,
SHIMAI,en,
ILLNESS,ja,
ILLNESS,en,
MORNING,ja,
MORNING,en,
HIMOGOHAKI,ja,
HIMOGOHAKI,en,
ROJO,ja,
ROJO,en,
SHANAI,ja,
SHANAI,en,
GYOKAI_YOGO,ja,
GYOKAI_YOGO,en,
KAIWA,ja,
KAIWA,en,
TEREBI,ja,
TEREBI,en,
TETSUDO,ja,
TETSUDO,en,
TRAIN,ja,
TRAIN,en,
MOBILE_PHONE,ja,
MOBILE_PHONE,en,
TEREBI_BANGUMI,ja,
TEREBI_BANGUMI,en,
KAJI,ja,
KAJI,en,
HOUSOU,ja,
HOUSOU,en,
SYOKUBA,ja,
SYOKUBA,en,
FOREIGN_NAME,ja,
FOREIGN_NAME,en,
MOUNTAINEERING,ja,
MOUNTAINEERING,en,
EXAMINATION,ja,
EXAMINATION,en,
SHOKUBAI,ja,
SHOKUBAI,en,
KOUHAKU_UTA_GASSEN,ja,
KOUHAKU_UTA_GASSEN,en,
RYOKO,ja,
RYOKO,en,
