MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
www_1101_com_iimatugai_archive_more050216_html_001,たまねぎ,じゃまねぎ,じゃがいもとたまねぎが混ざった,買い物メモを作成中、頭の中で「じゃがいも」と「たまねぎ」が混ざって書き間違えた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,ふいづ,ふいづ,日本語,"['書き間違い', '日常', 'ユーモア']","['家庭', '手書き', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_002,ファイル,ファルー,伸ばし棒の位置に注意,職場でバインダーの箱に書く際、慌てて「ファルー」と書いてしまい、すぐに消した。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,先輩,後輩,日本語,"['書き間違い', '職場', 'ユーモア']","['職場', '倉庫', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_003,9:30〜10:00,9:30〜100:00,0の数に注意,手帳に予定を書く際、10:00を100:00と書き間違えた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,旦那,妻,日本語,"['書き間違い', '日常', 'ユーモア']","['家庭', '手帳', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_004,ひまわり,ひまわか,「り」と「か」の書き間違いに注意,書道の課題で「ひまわり」と書くべきところを「ひまわか」と書いてしまった。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,M君,クラス,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', '教室', '手書き', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_005,春はあけぼの,春はあげもの,うとうとしながらの書き取りに注意,古文の授業中、先生の朗読をノートに写しながら居眠りし、「春はあけぼの」を「あげもの」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,まきみみ,まきみみ,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', '教室', 'ノート', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_006,第一種自動車運転免許,第一種自転車運転免許,文字の見直しをしっかり,履歴書作成時に「自動車」を「自転車」と書き間違えた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,やっぱり書き直し？,やっぱり書き直し？,日本語,"['書き間違い', '日常', 'ユーモア']","['家庭', '履歴書', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_007,燃えるゴミ,焼えるゴミ,「燃える」と「焼える」の混同に注意,店舗のごみ箱に「燃えるゴミ」と書くべきところを「焼えるゴミ」と書いてしまった。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,友人,お客さん,日本語,"['書き間違い', '店舗', 'ユーモア']","['店舗', 'ごみ箱', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_008,恋のお守り,変のお守り,「恋」と「変」の書き間違いに注意,友人が「恋のお守り」と書くつもりが「変のお守り」と書いてしまった。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,友人,投稿者,日本語,"['書き間違い', '日常', 'ユーモア']","['家庭', '手書き', '静かな環境']"
www_1101_com_iimatugai_archive_more050216_html_009,たまには平常気分で,たまには変人気分で,「平常」と「変人」の混同に注意,母がバレンタインカードに「たまには平常気分で」と書くつもりが「変人気分で」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,母,父,日本語,"['書き間違い', '家庭', 'ユーモア']","['家庭', 'カード', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_010,救急箱,きゅ９ばこ,「きゅう」を「きゅ９」と書かないよう注意,弟が100円ショップのリストに「救急箱」を「きゅ９ばこ」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,弟,姉,日本語,"['書き間違い', '家庭', 'ユーモア']","['家庭', 'リスト', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_011,指輪,ゆわび,「指輪」の読み間違いに注意,先輩がメモに「指輪」と書くつもりが「ゆわび」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,先輩,投稿者,日本語,"['書き間違い', '職場', 'ユーモア']","['職場', 'メモ', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_012,支払,支仏,「払」と「仏」の書き間違いに注意,会社の伝票で「支払」と書くべきところを「支仏」と書いていた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,Oさん,投稿者,日本語,"['書き間違い', '職場', 'ユーモア']","['職場', '伝票', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_013,西,酉,「西」と「酉」の字形の混同に注意,「東西南北」の「西」を「酉」と書いて「東酉南北」となった。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,たなちゅう,たなちゅう,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', 'ノート', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_014,重力モデル,重力モ゛ル,濁点の位置に注意,授業で「重力モデル」と書くべきところを「重力モ゛ル」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,先生,生徒,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', '教室', '黒板', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_015,重力モデル,重力モルノ,語尾の書き間違いに注意,友達が「重力モデル」と書くべきところを「重力モルノ」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,友達,投稿者,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', '教室', 'ノート', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_016,メルヘン,ヌルヘン,「メ」と「ヌ」の書き間違いに注意,図書室で借りた本『メルヘン』を貸出カードに「ヌルヘン」と書いた。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,投稿者,図書室,日本語,"['書き間違い', '学校', 'ユーモア']","['学校', '図書室', '貸出カード', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_017,新潟県,新選組,県名と歴史用語の混同に注意,住所欄に「新潟県」と書くべきところを「新選組」と書いてしまった。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,asapon,asapon,日本語,"['書き間違い', '日常', 'ユーモア']","['家庭', '住所欄', '手書き']"
www_1101_com_iimatugai_archive_more050216_html_018,食器棚,ショックだな,変換ミスに注意,PCで「食器棚」と打ちたいのに「ショックだな」と変換されてしまう。,True,www_1101_com_iimatugai_archive_more050216_html,N/A,リサイクル,リサイクル,日本語,"['書き間違い', 'PC', 'ユーモア']","['家庭', 'PC', 'デジタル入力', '変換ミス']"
